cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain,sic_bucket,device_evidence
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-09-008008,dex992.htm,2009-01-20,2009-01-20,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312509008008/dex992.htm,exhibit_top,3662,True,True,True,False,False,False,False,False,False,1,1,4,2,0,0,0,0,device,True,device,text
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-09-247822,dex991.htm,2009-12-07,2009-12-03,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312509247822/dex991.htm,exhibit_top,8026,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
310764,STRYKER CORP  (SYK)  (CIK 0000310764),3841.0,0001193125-10-066622,d8k.htm,2010-03-25,2010-03-23,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/310764/000119312510066622/d8k.htm,item_anchored,2109,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
310764,STRYKER CORP  (SYK)  (CIK 0000310764),3841.0,0001193125-10-066622,dex991.htm,2010-03-25,2010-03-23,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/310764/000119312510066622/dex991.htm,exhibit_top,2125,True,True,True,False,False,False,False,False,False,1,1,2,1,0,0,0,0,device,True,device,text
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-10-087179,dex991.htm,2010-04-20,2010-04-16,5.02; 8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312510087179/dex991.htm,exhibit_top,10015,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
1350653,"Alphatec Holdings, Inc.  (ATEC)  (CIK 0001350653)",3841.0,0001193125-10-152470,d8k.htm,2010-07-01,2010-06-25,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1350653/000119312510152470/d8k.htm,item_anchored,3473,True,True,True,False,True,False,False,False,False,1,1,1,0,0,0,0,0,device,True,device,text
351346,BIOMET INC  (CIK 0000351346),3842.0,0001193125-10-191135,d8k.htm,2010-08-17,2010-08-17,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/351346/000119312510191135/d8k.htm,item_anchored,2036,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
351346,BIOMET INC  (CIK 0000351346),3842.0,0001193125-10-191135,dex991.htm,2010-08-17,2010-08-17,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/351346/000119312510191135/dex991.htm,exhibit_top,2025,True,True,True,False,False,False,False,False,False,1,1,2,0,0,0,0,0,device,True,device,text
351346,BIOMET INC  (CIK 0000351346),3842.0,0001193125-11-028704,dex991.htm,2011-02-09,2011-02-08,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/351346/000119312511028704/dex991.htm,exhibit_top,5713,True,True,True,False,False,False,False,False,False,1,1,3,1,0,0,0,0,device,True,device,text
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-11-036312,d8k.htm,2011-02-15,2011-02-10,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312511036312/d8k.htm,item_anchored,7527,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
815065,STERIS CORP  (CIK 0000815065),3842.0,0001193125-12-267558,d364062d8k.htm,2012-06-12,2012-05-31,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/815065/000119312512267558/d364062d8k.htm,item_anchored,7474,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
1136869,ZIMMER HOLDINGS INC  (ZBH)  (CIK 0001136869),3842.0,0001193125-12-411474,d418978d8k.htm,2012-10-01,2012-09-25,8.01,"""field action""; ""warning letter""",https://www.sec.gov/Archives/edgar/data/1136869/000119312512411474/d418978d8k.htm,item_anchored,4620,True,True,True,False,False,False,True,False,False,1,1,2,0,0,0,0,0,device,True,device,text
