normalized_name,firm_name_fda,gvkey,company_name_compustat,match_source,review_suggested,valid_from_year,valid_to_year,crosswalk_origin,source,n_records,match_status,n_gvkey_candidates,sic,costat,cik,cross_entity_family
BIOMERIEUX,"bioMerieux, Inc.",270578.0,BIOMERIEUX SA,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
ZYNEX MEDICAL,"Zynex Medical, Inc.",129441.0,ZYNEX INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
ZOLL MEDICAL,Zoll Medical Corporation,25579.0,ZOLL MEDICAL CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
ZEVEX,"Zevex, Inc.",23387.0,ZEVEX INTERNATIONAL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
XANODYNE PHARMACEUTICALS,Xanodyne Pharmaceuticals Inc,179833.0,XANODYNE PHARMACEUTICLS-REDH,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
XTANT MEDICAL,"XTANT Medical Holdings, Inc",185193.0,XTANT MEDICAL HOLDINGS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
WHOLE FOODS MARKET,Whole Foods Market Group Inc.,24893.0,WHOLE FOODS MARKET INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
WHITE EAGLE NATIVE HERBS,White Eagle Native Herbs,11468.0,WHITE EAGLE INTERNATIONAL,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
WALMART,Walmart Inc.,11259.0,WALMART INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
WESTMINSTER,WESTMINSTER INTERNATIONAL,11438.0,WESTMINSTER CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
VIVOS THERAPEUTICS,"Vivos Therapeutics, Inc.",37290.0,VIVOS THERAPEUTICS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
VITALITY PRODUCTS,Vitality Products Company Inc.,108767.0,VITALITY PRODUCTS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
VITAL SIGNS DEVICES A GE HEALTHCARE,"Vital Signs Devices, a GE Healthcare Company",23088.0,VITAL SIGNS INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
TLC VISION,TLC Vision Corporation,62465.0,TLC VISION CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SYNERGY HEALTH CONCEPTS,"Synergy Health Concepts, Inc.",14188.0,HEALTH CONCEPTS IV INC,ct_fuzzy,False,1900,2099,letter_crosswalk,,,,,,,,
POTNETWORK,"PotNetwork Holdings, Inc.",19751.0,POTNETWORK HOLDINGS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
RIDLEY,Ridley USA Inc.,65238.0,RIDLEY INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SEA WORLD,"Sea World, LLC",9536.0,SEA WORLD INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SCOTTY S,"Scotty's, Inc.",9522.0,SCOTTY'S INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SANOFI PASTEUR,Sanofi Pasteur Limited,101204.0,SANOFI,ct_override_windowed,False,1900,2099,letter_crosswalk,,,,,,,,
SANDOZ,Sandoz Incorporated,43362.0,SANDOZ GROUP AG,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
SALIX PHARMACEUTICALS,Salix Pharmaceuticals Inc,62977.0,SALIX PHARMACEUTICALS LTD,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
SOCIETAL CDMO SAN DIEGO,"SOCIETAL CDMO SAN DIEGO, LLC",19025.0,SOCIETAL CDMO INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
RITE AID,Rite Aid Corporation,9155.0,RITE AID CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
RISER FOODS,Riser Foods Company,14792.0,RISER FOODS INC  -CL A,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
RESER S FINE FOODS,Reser's Fine Foods Inc.,9075.0,RESER'S FINE FOODS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SYNBIOTICS,Synbiotics Limited,10237.0,SYNBIOTICS CORP,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
RADNOSTIX,Radnostix,65280.0,RADNOSTIX INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
QUANTA,QUANTA INC.,34011.0,QUANTA INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
PURCELL,Purcell International,8825.0,PURCELL CO INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
PROSTAR,Prostar Inc.,183664.0,PROSTAR HOLDINGS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
PROFESSIONAL DISPOSABLES,"Professional Disposables International, Inc.",23552.0,PROFESSIONAL HOLDING CORP,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
PROCTER AND GAMBLE MANUFACTURING MEXICO S DE R L DE C V,"Procter & Gamble Manufacturing Mexico, S. de R.L. de C.V.",8762.0,PROCTER & GAMBLE CO,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
POWER MEDICAL INTERVENTIONS,"Power Medical Interventions, Inc",178722.0,POWER MEDICAL INTERVENTIONS,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SIEMENS HEALTHCARE DIAGNOSTICS,"Siemens Healthcare Diagnostics, Inc.",19349.0,SIEMENS AG,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
SIENTRA,"Sientra, Inc",22037.0,SIENTRA INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SINTX TECHNOLOGIES,Sintx Technologies Inc,177981.0,SINTX TECHNOLOGIES INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
SMITH AND NEPHEW,Smith & Nephew Inc.,101317.0,SMITH & NEPHEW PLC,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
SYMMETRY SURGICAL,"Symmetry Surgical, Inc.",22330.0,SYMMETRY SURGICAL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
