recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
WAVi Co.,1,1,2023-12-08,2023-12-08,WAVI
Basic Reset Inc.,1,1,2019-10-18,2019-10-18,BASIC RESET
Battelle Memorial Institute,1,1,2020-08-13,2020-08-13,BATTELLE MEMORIAL INSTITUTE
"The Contact Lens Store, Inc.",1,1,2004-06-07,2004-06-07,CONTACT LENS STORE
The Biomed Guys,1,1,2021-03-25,2021-03-25,BIOMED GUYS
Aerolase,1,1,2011-06-07,2011-06-07,AEROLASE
Battle Creek Equipment Co.,1,1,2016-09-15,2016-09-15,BATTLE CREEK EQUIPMENT
Bausch & Lomb,1,1,2006-04-13,2006-04-13,BAUSCH AND LOMB
"Aerin Medical, Inc.",1,1,2024-11-12,2024-11-12,AERIN MEDICAL
"Thayer Intellectual Property, Inc.",1,1,2016-11-04,2016-11-04,THAYER INTELLECTUAL PROPERTY
WHPM Inc.,1,1,2022-03-04,2022-03-04,WHPM
Texas Medical Technology Inc.,1,1,2022-09-01,2022-09-01,TEXAS MEDICAL TECHNOLOGY
"Teva Pharmaceuticals USA, Inc.",1,1,2012-03-30,2012-03-30,TEVA PHARMACEUTICALS
"Advanced Research Medical, LLC",1,1,2023-03-14,2023-03-14,ADVANCED RESEARCH MEDICAL
WISSNER-BOSSERHOFF GMBH Hauptstr. 4-6 Wickede (Ruhr) Germany,1,1,2022-07-11,2022-07-11,WISSNER BOSSERHOFF HAUPTSTR 4 6 WICKEDE RUHR GERMANY
"Bausch & Lomb, Inc.",1,1,2016-10-12,2016-10-12,BAUSCH AND LOMB
"WNCK, Inc",1,1,2005-11-30,2005-11-30,WNCK
"Bayer HealthCare LLC, Diagnostics Div",1,1,2003-06-19,2003-06-19,BAYER HEALTHCARE DIAGNOSTICS DIV
"Bayer Healthcare LLC
 1884 Miles Ave
 Buildings 110 (Adlake), 17 & 18
 Elkhart IN 46514-2291",1,1,2004-03-12,2004-03-12,BAYER HEALTHCARE 1884 MILES AVE BUILDINGS 110 ADLAKE 17 AND 18 ELKHART IN 46514 2291
Bayer Healthcare Llc,1,1,2013-08-26,2013-08-26,BAYER HEALTHCARE
"Baro-Therapies, Inc",1,1,2014-08-08,2014-08-08,BARO THERAPIES
The See Clear Company,1,1,2017-01-06,2017-01-06,SEE CLEAR
"TeraRecon, Inc.",1,1,2015-01-21,2015-01-21,TERARECON
The Sisus Corporation,1,1,2007-06-01,2007-06-01,SISUS
Thermo Fisher Scientific Ratashe 2 Vantaa Finland,1,1,2021-02-01,2021-02-01,THERMO FISHER SCIENTIFIC RATASHE 2 VANTAA FINLAND
BIGFOOT BIOMEDICAL,1,1,2025-05-21,2025-05-21,BIGFOOT BIOMEDICAL
BIOMERIEUX Grenoble Biomerieux Institut Christophe Merieux; 5 Rue Des Berges; Cs,1,1,2020-01-10,2020-01-10,BIOMERIEUX GRENOBLE BIOMERIEUX INSTITUT CHRISTOPHE MERIEUX 5 RUE DES BERGES CS
BIOMET FRANCE S.A.R.L. plateau de lautagne valence cedex,1,1,2015-05-14,2015-05-14,BIOMET FRANCE S A R L PLATEAU DE LAUTAGNE VALENCE CEDEX
Aesthetics Systems Usa Inc,1,1,2021-08-23,2021-08-23,AESTHETICS SYSTEMS
"Aesthetics Biomedical, Inc.",1,1,2020-03-13,2020-03-13,AESTHETICS BIOMEDICAL
Thermo Fisher,1,1,2018-05-04,2018-05-04,THERMO FISHER
Thermo Finnigan LLC,1,1,2016-07-19,2016-07-19,THERMO FINNIGAN
"BIOTRONIK, Inc.",1,1,2015-06-30,2015-06-30,BIOTRONIK
BSN Medical Inc,1,1,2022-02-01,2022-02-01,BSN MEDICAL
"BTE Technologies, Inc.",1,1,2015-04-09,2015-04-09,BTE TECHNOLOGIES
WALLAC OY Mustionkatu 6 Turku Varsinais-Suomi Finland,1,1,2026-05-18,2026-05-18,WALLAC MUSTIONKATU 6 TURKU VARSINAIS SUOMI FINLAND
Back 2 Basics Direct LLC,1,1,2018-06-29,2018-06-29,BACK 2 BASICS DIRECT
Banbury Business Park Adderbury Banbury Oxfordshire United Kingdom,1,1,2019-03-15,2019-03-15,BANBURY BUSINESS PARK ADDERBURY BANBURY OXFORDSHIRE UNITED KINGDOM
WANDERCRAFT SAS,1,1,2025-04-03,2025-04-03,WANDERCRAFT SAS
Barco Inc.,1,1,2015-05-28,2015-05-28,BARCO
WASATCH PHOTONICS,1,1,2025-08-04,2025-08-04,WASATCH PHOTONICS
Theken Companies LLC,1,1,2025-09-11,2025-09-11,THEKEN COMPANIES
Barcoview 35 President Kennedy Park Kortrijk Belgium,1,1,2008-09-09,2008-09-09,BARCOVIEW 35 PRESIDENT KENNEDY PARK KORTRIJK BELGIUM
The Standing Company,1,1,0013-05-16,0013-05-16,STANDING
"Bard Brachytherapy, Inc.",1,1,2018-04-10,2018-04-10,BARD BRACHYTHERAPY
"Advanced Orthogonal Equipment, Incorporated",1,1,2013-03-06,2013-03-06,ADVANCED ORTHOGONAL EQUIPMENT
Tepha Incorporated,1,1,2016-11-21,2016-11-21,TEPHA
THREAD COUNSEL INC DBA LAWS OF MOTION,1,1,2020-09-17,2020-09-17,THREAD COUNSEL LAWS OF MOTION
Bellus Medical,1,1,2019-01-18,2019-01-18,BELLUS MEDICAL
"Wako Chemicals, USA Inc",1,1,2006-07-06,2006-07-06,WAKO CHEMICALS
Tec Com Gmbh Eingang B Am Krummling 1 Kabelsketal Germany,1,1,2018-08-14,2018-08-14,TEC COM EINGANG B AM KRUMMLING 1 KABELSKETAL GERMANY
"Bemis Health Care, Inc",1,1,2006-08-23,2006-08-23,BEMIS HEALTH CARE
"Wako Life Sciences, Inc.",1,1,2013-04-30,2013-04-30,WAKO LIFE SCIENCES
"Tcoag Us, Incorporated",1,1,2011-06-13,2011-06-13,TCOAG
"Wal Mart Stores, Inc",1,1,2014-02-26,2014-02-26,WAL MART STORES
"Taut, Inc.",1,1,2007-01-19,2007-01-19,TAUT
Tapemark Company,1,1,2021-11-10,2021-11-10,TAPEMARK
"Berkeley Advanced Biomaterials, LLC",1,1,2025-09-02,2025-09-02,BERKELEY ADVANCED BIOMATERIALS
"Besmed Health Business Corporation
 No.5, Lane 116, Wu-Kong 2nd Road
 Wu-Ku District
 New Taipei City Taiwan",1,1,2018-08-09,2018-08-09,BESMED HEALTH BUSINESS NO 5 LANE 116 WU KONG 2ND ROAD WU KU DISTRICT NEW TAIPEI CITY TAIWAN
Best Sanitizers Inc,1,1,2016-08-02,2016-08-02,BEST SANITIZERS
"Taewoong Medical Co., Ltd. 14 Gojeong-ro, Wolgot-Myeon, Gimpo-Si, Gyeonggi-Do Korea (the Republic of)",1,1,2019-10-18,2019-10-18,TAEWOONG MEDICAL 14 GOJEONG RO WOLGOT MYEON GIMPO SI GYEONGGI DO KOREA REPUBLIC OF
"Tactical Medical Solutions, Inc.",1,1,2018-04-17,2018-04-17,TACTICAL MEDICAL SOLUTIONS
"TZ Medical, Inc.",1,1,2016-07-07,2016-07-07,TZ MEDICAL
"Bestmed, LLC 331 Corporate Cirle Unit E",1,1,2015-11-12,2015-11-12,BESTMED 331 CORPORATE CIRLE UNIT E
Bien Air Dental SA Langgasse 60 Biel/bienne Switzerland,1,1,2015-08-27,2015-08-27,BIEN AIR DENTAL LANGGASSE 60 BIEL BIENNE SWITZERLAND
"TURBETT SURGICAL, LLC",1,1,2022-04-01,2022-04-01,TURBETT SURGICAL
BigTree Sales Inc.,1,1,2025-08-29,2025-08-29,BIGTREE SALES
Bigwall Enterprises,1,1,2015-11-20,2015-11-20,BIGWALL ENTERPRISES
Waldemar Link GmbH & Co. KG (Corp. Hq.) Barkhausenweg 10 Hamburg Germany,1,1,2024-09-11,2024-09-11,WALDEMAR LINK AND KG HQ BARKHAUSENWEG 10 HAMBURG GERMANY
TIDI PRODUCTS,1,1,2019-04-12,2019-04-12,TIDI PRODUCTS
"Advanced Instruments, Inc. Two Technology Way",1,1,2011-01-19,2011-01-19,ADVANCED INSTRUMENTS TWO TECHNOLOGY WAY
Belcher Pharmaceuticals Inc.,1,1,2006-09-25,2006-09-25,BELCHER PHARMACEUTICALS
Tenex Health Inc,1,1,2014-04-14,2014-04-14,TENEX HEALTH
Technicality Inc.,1,1,2024-01-31,2024-01-31,TECHNICALITY
Advanced Neuromodulation Systems,1,1,2009-06-02,2009-06-02,ADVANCED NEUROMODULATION SYSTEMS
"Baylis Medical Company Inc.
 5160 Explorer Drive #33
 Mississauga Canada Ontario",1,1,2012-10-04,2012-10-04,BAYLIS MEDICAL 5160 EXPLORER DRIVE 33 MISSISSAUGA CANADA ONTARIO
"WRP Asia Pacific Sdn Bhd Lot 1, Perusahaan Bandar Baru Jalan",1,1,2018-05-07,2018-05-07,WRP ASIA PACIFIC SDN BHD LOT 1 PERUSAHAAN BANDAR BARU JALAN
Bd Diagnostic,1,1,2015-12-14,2015-12-14,BD DIAGNOSTIC
Bd Diagnostic Systems Tripath,1,1,2008-09-26,2008-09-26,BD DIAGNOSTIC SYSTEMS TRIPATH
Bd Medical Systems,1,1,2010-06-24,2010-06-24,BD MEDICAL SYSTEMS
"BearCare, Inc.",1,1,2023-05-10,2023-05-10,BEARCARE
"Beaver-Visitec International, Inc.",1,1,2025-12-05,2025-12-05,BEAVER VISITEC
Teledyne Instruments Analytical Instruments,1,1,2010-11-29,2010-11-29,TELEDYNE INSTRUMENTS ANALYTICAL INSTRUMENTS
Teledyne Analytical Instruments,1,1,2003-10-27,2003-10-27,TELEDYNE ANALYTICAL INSTRUMENTS
"Telcare, LLC",1,1,2025-01-30,2025-01-30,TELCARE
Teknimed SA 11 Rue Apollo L France,1,1,2006-08-31,2006-08-31,TEKNIMED 11 RUE APOLLO L FRANCE
Bebig Isotopentechnik Gmbh Robert-Rossle-Str. 10 Berlin Germany,1,1,2023-10-17,2023-10-17,BEBIG ISOTOPENTECHNIK ROBERT ROSSLE STR 10 BERLIN GERMANY
Tekia Inc,1,1,2004-07-02,2004-07-02,TEKIA
"Waismed Ltd 10, Amal St Rosh Haayin Israel",1,1,2016-08-18,2016-08-18,WAISMED 10 AMAL ST ROSH HAAYIN ISRAEL
Tedan Surgical Innovations Llc,1,1,2012-06-11,2012-06-11,TEDAN SURGICAL INNOVATIONS
"Beckman Coulter Biomedical Division Lismeehan, O'Callaghan's Mills County Clare Ireland",1,1,2023-09-06,2023-09-06,BECKMAN COULTER BIOMEDICAL DIVISION LISMEEHAN O CALLAGHAN S MILLS COUNTY CLARE IRELAND
Beckman Coulter Biomedical GmbH Sauerbruchstr. 50 Munich Germany,1,1,2020-06-17,2020-06-17,BECKMAN COULTER BIOMEDICAL SAUERBRUCHSTR 50 MUNICH GERMANY
Technological Medical Advancements LLC,1,1,2026-01-09,2026-01-09,TECHNOLOGICAL MEDICAL ADVANCEMENTS
"Beeken Biomedical, LLC",1,1,2021-10-14,2021-10-14,BEEKEN BIOMEDICAL
Rocket Medical Plc Industrial Estate Sedling Road Wear Indu Tyne & Wear Washington United Kingdom,1,1,2019-08-01,2019-08-01,ROCKET MEDICAL INDUSTRIAL ESTATE SEDLING ROAD WEAR INDU TYNE AND WEAR WASHINGTON UNITED KINGDOM
Technidata S.A. 387 Avenue Jean Kuntzmann Montbonnot St Martin France,1,1,2023-03-27,2023-03-27,TECHNIDATA S A 387 AVENUE JEAN KUNTZMANN MONTBONNOT ST MARTIN FRANCE
"3-D Matrix, Inc.",1,1,2019-12-02,2019-12-02,3 D MATRIX
"Covidien Medical Products (Shanghai) Manufacturing L.L.C. Building 10 789 Puxinglu Pujiang, Minhang Shanghaishi China",1,1,2016-02-23,2016-02-23,COVIDIEN MEDICAL PRODUCTS SHANGHAI MANUFACTURING L L C BUILDING 10 789 PUXINGLU PUJIANG MINHANG SHANGHAISHI CHINA
"IMMUNDIAGNOSTIK, Inc",1,1,2023-03-27,2023-03-27,IMMUNDIAGNOSTIK
IMPULSE DYNAMICS (USA) INC,1,1,2024-01-05,2024-01-05,IMPULSE DYNAMICS
IMRIS Imaging Inc,1,1,2025-12-08,2025-12-08,IMRIS IMAGING
IMRIS Inc,1,1,2014-10-01,2014-10-01,IMRIS
IMTEC Corporation,1,1,2009-07-07,2009-07-07,IMTEC
"Micromedical Technologies, Inc",1,1,2009-11-16,2009-11-16,MICROMEDICAL TECHNOLOGIES
IMTEC IMAGING L.L.C.,1,1,2009-08-03,2009-08-03,IMTEC IMAGING L L C
Microline Surgical,1,1,2014-04-14,2014-04-14,MICROLINE SURGICAL
IN MY BATHROOM LLC,1,1,2022-01-27,2022-01-27,IN MY BATHROOM
INCIPIO DEVICES avenue des Paquiers 16 St-Blaise Switzerland,1,1,2024-10-30,2024-10-30,INCIPIO DEVICES AVENUE DES PAQUIERS 16 ST BLAISE SWITZERLAND
"INGfertility, LLC",1,1,2008-09-22,2008-09-22,INGFERTILITY
Microcare Medical,1,1,2024-08-29,2024-08-29,MICROCARE MEDICAL
"INO Therapeutics, Inc.",1,1,2006-06-29,2006-06-29,INO THERAPEUTICS
INO therapeutics LLC/dba ikaria,1,1,2018-07-09,2018-07-09,INO THERAPEUTICS IKARIA
"MicroPort Orthopedics, Inc.",1,1,2015-08-04,2015-08-04,MICROPORT ORTHOPEDICS
"INSTITUT GEORGES LOPEZ
 6 ROUTE DE SAINT BONNET
 ST LAURENT DE CHAMOUSSET France",1,1,2025-03-13,2025-03-13,INSTITUT GEORGES LOPEZ 6 ROUTE DE SAINT BONNET ST LAURENT DE CHAMOUSSET FRANCE
Micro-X Ltd. A14 6 MAB Eastern Promenade Tonsley Australia,1,1,2022-08-31,2022-08-31,MICRO X A14 6 MAB EASTERN PROMENADE TONSLEY AUSTRALIA
IPG Medical Corporation,1,1,2026-05-05,2026-05-05,IPG MEDICAL
Micro-Tech Usa,1,1,2020-10-05,2020-10-05,MICRO TECH
"ITC-Nexus Dx, Inc.",1,1,2011-01-21,2011-01-21,ITC NEXUS DX
Iba Dosimetry,1,1,2017-04-26,2017-04-26,IBA DOSIMETRY
"Icecure Medical Ltd 7, Ha-Eshel Caesarea Israel",1,1,2019-09-16,2019-09-16,ICECURE MEDICAL 7 HA ESHEL CAESAREA ISRAEL
Mick Radio Nuclear Instr Inc,1,1,2005-03-30,2005-03-30,MICK RADIO NUCLEAR INSTR
"Michigan Orthopaedic Products, Inc.",1,1,2008-05-05,2008-05-05,MICHIGAN ORTHOPAEDIC PRODUCTS
Ideal Implant Incorporated,1,1,2019-03-18,2019-03-18,IDEAL IMPLANT
"Ideal Optics, Inc.",1,1,2004-10-12,2004-10-12,IDEAL OPTICS
IMPERATIVE CARE INC,1,1,2021-08-13,2021-08-13,IMPERATIVE CARE
Microvision Medical Holding B.V. Meibergdreef 45 Amsterdam Netherlands,1,1,2006-07-21,2006-07-21,MICROVISION MEDICAL B V MEIBERGDREEF 45 AMSTERDAM NETHERLANDS
"Mizuho USA, Inc.",1,1,2006-11-17,2006-11-17,MIZUHO
"Micrus Endovascular Corp., 821 Fox Lane, San Jose, CA 95131 
 821 Fox Ln
 San Jose CA 95131-1601",1,1,2010-10-21,2010-10-21,MICRUS ENDOVASCULAR 821 FOX LANE SAN JOSE CA 95131 821 FOX LN SAN JOSE CA 95131 1601
Hudson Scientific LLC,1,1,2018-07-02,2018-07-02,HUDSON SCIENTIFIC
"Humagen Fertility Diagnostics, Inc.",1,1,2007-05-08,2007-05-08,HUMAGEN FERTILITY DIAGNOSTICS
Human Care Hc Sweden Ab Arstaangsvagen 21 B Stockholm Sweden,1,1,2024-02-23,2024-02-23,HUMAN CARE HC SWEDEN ARSTAANGSVAGEN 21 B STOCKHOLM SWEDEN
"Mitaka USA, Inc.",1,1,2009-02-27,2009-02-27,MITAKA
"Misonix, Inc",1,1,2003-08-13,2003-08-13,MISONIX
Human Design Medical Llc,1,1,2018-05-08,2018-05-08,HUMAN DESIGN MEDICAL
Huntleigh Healthcare Ltd.,1,1,2022-02-11,2022-02-11,HUNTLEIGH HEALTHCARE
Hycor Biomedical LLC,1,1,2018-07-25,2018-07-25,HYCOR BIOMEDICAL
"Hydro Med Products, Inc",1,1,2000-09-28,2000-09-28,HYDRO MED PRODUCTS
Minntech Corp,1,1,2010-06-15,2010-06-15,MINNTECH
Hyperion Medical,1,1,2013-11-20,2013-11-20,HYPERION MEDICAL
I2s Micro Implantable Systems Llc,1,1,2010-03-26,2010-03-26,I2S MICRO IMPLANTABLE SYSTEMS
"Milwaukee Notions, Inc",1,1,2006-10-10,2006-10-10,MILWAUKEE NOTIONS
IBA Dosimetry GmbH Bahnhofstr. 5 Schwarzenbruck Germany,1,1,2025-04-01,2025-04-01,IBA DOSIMETRY BAHNHOFSTR 5 SCHWARZENBRUCK GERMANY
"IDEV Technologies, Inc.",1,1,2012-05-29,2012-05-29,IDEV TECHNOLOGIES
IDS (Immunodiagnostic Systems Ltd.) Usworth Hall Washington United Kingdom,1,1,2012-11-07,2012-11-07,IDS IMMUNODIAGNOSTIC SYSTEMS USWORTH HALL WASHINGTON UNITED KINGDOM
IDS LTD 194 Simgung-Ro Gwangtan-Myeon Paju Korea (the Republic of),1,1,2024-10-16,2024-10-16,IDS 194 SIMGUNG RO GWANGTAN MYEON PAJU KOREA REPUBLIC OF
"Milestone Scientific, Inc.",1,1,2015-02-11,2015-02-11,MILESTONE SCIENTIFIC
Milestone S.R.L. Via Fatebenefratelli 1/5 Sorisole Italy,1,1,2026-03-09,2026-03-09,MILESTONE S R L VIA FATEBENEFRATELLI 1 5 SORISOLE ITALY
Milabs Bv Heidelberglaan,1,1,2012-04-15,2012-04-15,MILABS HEIDELBERGLAAN
Migo Trading LLC,1,1,2021-11-04,2021-11-04,MIGO TRADING
"Migada Inc.
 P.O Box 888
 Kiryat Shmona Israel",1,1,2008-12-18,2008-12-18,MIGADA P O BOX 888 KIRYAT SHMONA ISRAEL
Midmark Corportation,1,1,2011-10-24,2011-10-24,MIDMARK CORPORTATION
Midmark Corp,1,1,2003-03-05,2003-03-05,MIDMARK
Micrus Endovascular Corporation,1,1,2006-09-08,2006-09-08,MICRUS ENDOVASCULAR
"Miami Fat Supply, Inc",1,1,2016-04-21,2016-04-21,MIAMI FAT SUPPLY
"Miami Device Solutions, LLC.",1,1,2019-01-15,2019-01-15,MIAMI DEVICE SOLUTIONS
"Idev Technologies, Inc.",1,1,2012-01-31,2012-01-31,IDEV TECHNOLOGIES
Ii Vi Incorporated,1,1,2017-12-13,2017-12-13,II VI
"Medtronic Surgical Navigation Tech, Inc",1,1,2003-10-31,2003-10-31,MEDTRONIC SURGICAL NAVIGATION TECH
Innokas Medical Oy Vihikari 10 Kempele Finland,1,1,2015-10-22,2015-10-22,INNOKAS MEDICAL VIHIKARI 10 KEMPELE FINLAND
Medtronic Spine LLC (formerly Kyphon Inc.),1,1,2011-03-23,2011-03-23,MEDTRONIC SPINE FORMERLY KYPHON
"Innomed, Inc.",1,1,2024-03-07,2024-03-07,INNOMED
Innominata Dba Genbio,1,1,2013-02-11,2013-02-11,INNOMINATA GENBIO
Innovacon Inc,1,1,2007-10-01,2007-10-01,INNOVACON
Innovative Implant Technology,1,1,2008-09-30,2008-09-30,INNOVATIVE IMPLANT TECHNOLOGY
Innovative Magnetic Resonance Imaging Systems Inc.,1,1,2012-10-19,2012-10-19,INNOVATIVE MAGNETIC RESONANCE IMAGING SYSTEMS
"Innovative Neurotronics, Inc.",1,1,2008-08-06,2008-08-06,INNOVATIVE NEUROTRONICS
"Innovative Ophthalmic Products, Inc",1,1,2016-02-22,2016-02-22,INNOVATIVE OPHTHALMIC PRODUCTS
"Innovative Orthopedic Technologies, LLC",1,1,2021-09-13,2021-09-13,INNOVATIVE ORTHOPEDIC TECHNOLOGIES
Innovative Sterlization Technologies LLC,1,1,2014-02-03,2014-02-03,INNOVATIVE STERLIZATION TECHNOLOGIES
Innovision A/S Skovvaenget 2 Glamsbjerg Denmark,1,1,2016-05-13,2016-05-13,INNOVISION A S SKOVVAENGET 2 GLAMSBJERG DENMARK
Ino Therapeutics,1,1,2010-11-30,2010-11-30,INO THERAPEUTICS
"Inogen, Inc",1,1,2005-08-01,2005-08-01,INOGEN
"Inotech Biosystems Intl., Inc",1,1,2007-08-20,2007-08-20,INOTECH BIOSYSTEMS
Inova Lasers LLC,1,1,2020-01-29,2020-01-29,INOVA LASERS
Medtronic Navigation Kochav Yokneam 1 Hamelacha St. Yokne'am Ilit Israel,1,1,2016-06-20,2016-06-20,MEDTRONIC NAVIGATION KOCHAV YOKNEAM 1 HAMELACHA ST YOKNE AM ILIT ISRAEL
Medtronic International Trade Inc,1,1,2008-05-07,2008-05-07,MEDTRONIC TRADE
"Inovise Medical, Inc.",1,1,2003-01-12,2003-01-12,INOVISE MEDICAL
"Medtronic Image Guided Neurologics, Inc.",1,1,2007-10-04,2007-10-04,MEDTRONIC IMAGE GUIDED NEUROLOGICS
"Inrad, Inc",1,1,2010-12-20,2010-12-20,INRAD
Insightra Medical Inc,1,1,2025-07-19,2025-07-19,INSIGHTRA MEDICAL
"Instituto Grifols, S.A. # 2 Can Guasch Street, Poligono Levante Parets Del Valles",1,1,2005-11-29,2005-11-29,INSTITUTO GRIFOLS S A 2 CAN GUASCH STREET POLIGONO LEVANTE PARETS DEL VALLES
"Instratek, Incorporated",1,1,2012-09-18,2012-09-18,INSTRATEK
"Medtronic Surgical Navigation Technologies, Inc",1,1,2005-01-28,2005-01-28,MEDTRONIC SURGICAL NAVIGATION TECHNOLOGIES
"Inmar Supply Chain Solutions, LLC",1,1,2023-08-24,2023-08-24,INMAR SUPPLY CHAIN SOLUTIONS
Inlightened Partners LLC,1,1,2019-06-04,2019-06-04,INLIGHTENED PARTNERS
Implant Resource Inc,1,1,2021-07-21,2021-07-21,IMPLANT RESOURCE
Mettler Electronics Corp,1,1,2011-04-14,2011-04-14,METTLER ELECTRONICS
Metrika Inc,1,1,2007-08-31,2007-08-31,METRIKA
Ikaria Holdings,1,0,2010-07-21,2010-07-21,IKARIA
Imalux Corporation,1,1,2011-12-22,2011-12-22,IMALUX
Mesa Laboratories Inc,1,1,2016-04-04,2016-04-04,MESA LABORATORIES
Immedica Inc,1,1,2003-02-10,2003-02-10,IMMEDICA
Immersivetouch Inc,1,1,2020-04-03,2020-04-03,IMMERSIVETOUCH
Mermaid Medical A/S Frydensbergvej 25 Stenlose Denmark,1,1,2024-05-01,2024-05-01,MERMAID MEDICAL A S FRYDENSBERGVEJ 25 STENLOSE DENMARK
Mermaid Medical A/S Frydensbergvej 25 Stenl?se Denmark,1,1,2015-06-15,2015-06-15,MERMAID MEDICAL A S FRYDENSBERGVEJ 25 STENL SE DENMARK
Immunodiagnostics Systems Inc,1,1,2008-08-02,2008-08-02,IMMUNODIAGNOSTICS SYSTEMS
"Immunostics, Inc.",1,1,2023-08-25,2023-08-25,IMMUNOSTICS
"Meretek Diagnostics, Inc.",1,1,2007-05-02,2007-05-02,MERETEK DIAGNOSTICS
Medtronic Vascular Galway Limited Parkmore Business Park West Galway Ireland,1,1,2009-08-06,2009-08-06,MEDTRONIC VASCULAR GALWAY PARKMORE BUSINESS PARK WEST GALWAY IRELAND
Merck Millipore Ltd. Tullagreen Carrigtwohill County Cork Ireland,1,1,2018-05-14,2018-05-14,MERCK MILLIPORE TULLAGREEN CARRIGTWOHILL COUNTY CORK IRELAND
"InSound Medical, Inc.",1,1,2010-01-19,2010-01-19,INSOUND MEDICAL
Memphis Fertility Laboratory Inc,1,1,2009-07-10,2009-07-10,MEMPHIS FERTILITY LABORATORY
Infantino LLC,1,1,2014-01-06,2014-01-06,INFANTINO
"Infinium Medical, Inc",1,1,2019-05-31,2019-05-31,INFINIUM MEDICAL
"Infraredx, Inc.",1,1,2016-12-15,2016-12-15,INFRAREDX
Medtronics Midas Rex,1,1,2002-11-11,2002-11-11,MEDTRONICS MIDAS REX
"Infusion Dynamics, A Div. of Zoll Med Corpinfusion Dynamics",1,1,2004-09-21,2004-09-21,INFUSION DYNAMICS A DIV OF ZOLL MED CORPINFUSION DYNAMICS
"Medtronic formerly Covidien Michael Collins Road, Mervue Ind. Park Galway Ireland",1,1,2022-03-25,2022-03-25,MEDTRONIC FORMERLY COVIDIEN MICHAEL COLLINS ROAD MERVUE IND PARK GALWAY IRELAND
Infusion Pump Repair,1,1,2021-03-26,2021-03-26,INFUSION PUMP REPAIR
Inion Ltd. Laakarinkatu 2 FIN-33520 Tampere Finland,1,1,2017-03-01,2017-03-01,INION LAAKARINKATU 2 FIN 33520 TAMPERE FINLAND
Hudson Respiratory Care Inc,1,1,2004-04-20,2004-04-20,HUDSON RESPIRATORY CARE
"Moberg Research, Inc.",1,1,2023-02-20,2023-02-20,MOBERG RESEARCH
"Instratek, Incorporated
 15200 Middlebrook Dr Ste G
 Houston TX 77058-1217",1,1,2015-11-24,2015-11-24,INSTRATEK 15200 MIDDLEBROOK DR STE G HOUSTON TX 77058 1217
Hager & Meisinger Gmbh Ronsdorferstrasse 22 Dusseldorf Germany,1,1,2018-11-07,2018-11-07,HAGER AND MEISINGER RONSDORFERSTRASSE 22 DUSSELDORF GERMANY
Hand Biomechanics Lab Inc,1,1,2016-09-14,2016-09-14,HAND BIOMECHANICS LAB
Handicare Accessibility,1,1,2012-11-29,2012-11-29,HANDICARE ACCESSIBILITY
Neusoft Medical System Co,1,1,2014-03-08,2014-03-08,NEUSOFT MEDICAL SYSTEM
Handpiece Headquarters,1,1,2018-04-04,2018-04-04,HANDPIECE HEADQUARTERS
Neuropro Spinal Jaxx,1,1,2018-01-18,2018-01-18,NEUROPRO SPINAL JAXX
"Neuronetrix Solutions, LLC dba Cognision",1,1,2019-11-07,2019-11-07,NEURONETRIX SOLUTIONS COGNISION
"Neuronetics, Inc.",1,1,2009-03-16,2009-03-16,NEURONETICS
"NeuroSync, Inc.",1,1,2023-09-19,2023-09-19,NEUROSYNC
Hans Pausch Rontgengeratebau Gmbh Graf Zeppelin Strasse 1 Erlangen Germany,1,1,2017-03-14,2017-03-14,HANS PAUSCH RONTGENGERATEBAU GRAF ZEPPELIN STRASSE 1 ERLANGEN GERMANY
Neuro-Fitness LLC,1,1,2007-10-29,2007-10-29,NEURO FITNESS
Neuro Resource Group Inc,1,1,2011-02-07,2011-02-07,NEURO RESOURCE
Harris Medical Resources,1,1,2010-05-13,2010-05-13,HARRIS MEDICAL RESOURCES
Neuro Kinetics,1,1,2009-07-24,2009-07-24,NEURO KINETICS
Neuralynx Inc,1,1,2022-03-14,2022-03-14,NEURALYNX
"Neuisys, LLC",1,1,2008-07-21,2008-07-21,NEUISYS
Harvest Technologies Corporation,1,1,2013-09-11,2013-09-11,HARVEST TECHNOLOGIES
Nestle HealthCare Nutrition,1,1,2013-07-24,2013-07-24,NESTLE HEALTHCARE NUTRITION
Nerl Diagnostics LLC,1,1,2008-04-23,2008-04-23,NERL DIAGNOSTICS
"He, Inc",1,1,2010-03-01,2010-03-01,HE
Healgen Scientific Llc,1,1,2024-08-22,2024-08-22,HEALGEN SCIENTIFIC
Neomend Inc,1,1,2012-08-13,2012-08-13,NEOMEND
Neomedix Corp,1,1,2007-05-28,2007-05-28,NEOMEDIX
"Neocis, Inc.",1,1,2020-10-30,2020-10-30,NEOCIS
Health Care Manufacturing Inc,1,1,2003-05-15,2003-05-15,HEALTH CARE MANUFACTURING
"Neo Medical, Inc.",1,1,2011-04-05,2011-04-05,NEO MEDICAL
"New Era Orthopaedics, LLc",1,1,2017-02-13,2017-02-13,NEW ERA ORTHOPAEDICS
Hager & Meisinger Gmbh Hansemannstr. 10 Neuss Germany,1,1,2020-07-15,2020-07-15,HAGER AND MEISINGER HANSEMANNSTR 10 NEUSS GERMANY
"Mobius Medical Systems, LP",1,1,2015-02-23,2015-02-23,MOBIUS MEDICAL SYSTEMS
