recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"Philips Medical Systems Gmbh, DMC Development And Manufacturing Ctr. Rontgenstr. 24 Hamburg Germany",32,1,2018-06-27,2019-12-19,PHILIPS MEDICAL SYSTEMS DMC DEVELOPMENT AND MANUFACTURING CTR RONTGENSTR 24 HAMBURG GERMANY
3M Company Health Care Business 3m Center,32,1,2015-12-01,2024-11-22,3M HEALTH CARE BUSINESS 3M CENTER
"Davol, Inc., Sub. C. R. Bard, Inc.",32,1,2005-12-22,2011-10-04,DAVOL SUB C R BARD
"Family Dollar Stores, Llc.",32,1,2022-06-23,2023-10-04,FAMILY DOLLAR STORES
"Arjo, Inc.",31,1,2003-01-30,2008-12-08,ARJO
Mako Surgical Corporation,31,1,2008-05-02,2022-08-08,MAKO SURGICAL
"ZOLL Circulation, Inc.",31,1,2014-04-01,2025-03-04,ZOLL CIRCULATION
"Physio Control, Inc.",31,1,2008-01-08,2013-06-12,PHYSIO CONTROL
Orthofix Srl Via Delle Nazioni,31,1,2018-09-27,2018-09-27,ORTHOFIX VIA DELLE NAZIONI
MicroPort Orthopedics Inc.,30,1,2016-06-21,2025-12-19,MICROPORT ORTHOPEDICS
Integra Life Sciences Corporation,30,1,2009-07-13,2009-07-13,INTEGRA LIFE SCIENCES
Pentax Medical Company,30,1,2011-09-30,2016-04-06,PENTAX MEDICAL
"Allez Spine, LLC",30,1,2007-07-30,2008-08-21,ALLEZ SPINE
"C.R. Bard Access Systems, Inc",30,1,2007-08-10,2008-12-04,C R BARD ACCESS SYSTEMS
"Cooper Surgical, Inc.",30,1,2008-01-16,2013-02-26,COOPER SURGICAL
Sklar Instruments,30,1,2024-12-03,2024-12-03,SKLAR INSTRUMENTS
"Abbott Molecular, Inc.",30,1,2021-08-04,2025-04-28,ABBOTT MOLECULAR
"Aizu Olympus Co., Ltd. 3 Chome 1-1 Niiderakita Aizuwakamatsu Japan",30,1,2023-09-25,2025-10-31,AIZU OLYMPUS 3 CHOME 1 1 NIIDERAKITA AIZUWAKAMATSU JAPAN
Ossur H F Grjothals 5 Reykjavik Iceland,30,1,2009-08-10,2024-08-20,OSSUR H F GRJOTHALS 5 REYKJAVIK ICELAND
Medrad Inc,29,2,2004-10-08,2013-04-15,MEDRAD
Oridion Medical,29,1,2009-06-30,2012-02-16,ORIDION MEDICAL
Varian Medical Systems Oncology Systems,29,1,2005-09-20,2010-06-23,VARIAN MEDICAL SYSTEMS ONCOLOGY SYSTEMS
Omni Life Science,29,1,2009-07-10,2012-08-09,OMNI LIFE SCIENCE
