firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
SCHNEIDER,SCHNEIDER,part803_unmatched,38,out_of_industry,,5599.0,SCHNEIDER CORP  -CL A,2013.0,,,
LARGO,LARGO,part803_unmatched,38,out_of_industry,,106003.0,LARGO INC,1090.0,,,
Kimberly-Clark Corporation,KIMBERLY CLARK,part806_recall,35,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
ATRIUM,ATRIUM,part803_maude,35,out_of_industry,,137170.0,ATRIUM CO INC,3442.0,,,
TRIPATH IMAGING,TRIPATH IMAGING,part803_unmatched,35,out_of_industry,,65368.0,TRIPATH IMAGING INC,3826.0,,,
Bio-Rad Laboratories Inc,BIO RAD LABORATORIES,part806_recall,34,out_of_industry,,2220.0,BIO-RAD LABORATORIES INC,3826.0,,,
"Bio-Rad Laboratories, Inc.",BIO RAD LABORATORIES,part806_recall,33,out_of_industry,,2220.0,BIO-RAD LABORATORIES INC,3826.0,,,
"HILL-ROM CO., INC.",HILL ROM,part803_maude,33,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
SIEMENS GMBH,SIEMENS,part803_maude,33,out_of_industry,,19349.0,SIEMENS AG,9997.0,,,
"Family Dollar Stores, Llc.",FAMILY DOLLAR STORES,part806_recall,32,out_of_industry,,4560.0,FAMILY DOLLAR STORES,5331.0,,,
ECOLAB,ECOLAB,part803_unmatched,32,out_of_industry,,4213.0,ECOLAB INC,2842.0,,,
HENRY SCHEIN,HENRY SCHEIN,part803_unmatched,32,out_of_industry,,61494.0,HENRY SCHEIN INC,5047.0,,,
MERGE HEALTHCARE INCORPORATED,MERGE HEALTHCARE,part803_maude,31,out_of_industry,,66630.0,MERGE HEALTHCARE INC,7373.0,,,
TAMBRANDS,TAMBRANDS,part803_unmatched,31,out_of_industry,,10326.0,TAMBRANDS INC,2670.0,,,
VARIAN,VARIAN,part803_unmatched,30,out_of_industry,,119216.0,VARIAN INC,3826.0,,,
AGILENT TECHNOLOGIES,AGILENT TECHNOLOGIES,part803_maude,30,out_of_industry,,126554.0,AGILENT TECHNOLOGIES INC,3826.0,,,
PRISM TECHNOLOGIES,PRISM TECHNOLOGIES,part803_unmatched,30,out_of_industry,,122263.0,PRISM TECHNOLOGIES GROUP INC,7370.0,,,
KIMBERLY-CLARK CORP,KIMBERLY CLARK,part803_maude,29,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
"CHURCH & DWIGHT CO., INC",CHURCH AND DWIGHT,part803_maude,29,out_of_industry,,3026.0,CHURCH & DWIGHT INC,2840.0,,,
ALLEGIANCE,ALLEGIANCE,part803_unmatched,28,out_of_industry,,63619.0,ALLEGIANCE CORP,5047.0,,,
OMNICELL,OMNICELL,part803_unmatched,28,out_of_industry,,142956.0,OMNICELL INC,3559.0,,,
GELMAN SCIENCES,GELMAN SCIENCES,part803_unmatched,28,out_of_industry,,5014.0,GELMAN SCIENCES INC,3821.0,,,
"Deltec, Inc",DELTEC,part806_recall,28,out_of_industry,,3859.0,DELTEC INTL LTD  -ADS,6211.0,,,
ALLIANCE MEDICAL,ALLIANCE MEDICAL,part803_unmatched,27,out_of_industry,,145081.0,ALLIANCE MEDICAL CORP,7389.0,,,
SUNQUEST INFORMATION SYSTEMS,SUNQUEST INFORMATION SYSTEMS,part803_unmatched,27,out_of_industry,,62966.0,SUNQUEST INFORMATION SYS INC,7373.0,,,
"CRAFTMATIC INDUSTRIES, INC",CRAFTMATIC INDUSTRIES,part803_maude,27,out_of_industry,,12737.0,CRAFTMATIC INDUSTRIES INC,2510.0,,,
Cardinal Health Inc.,CARDINAL HEALTH,part806_recall,27,out_of_industry,,2751.0,CARDINAL HEALTH INC,5122.0,,,
KENVUE,KENVUE,part803_maude,26,out_of_industry,,41897.0,KENVUE INC,2840.0,,,
KIMBERLY CLARK CORP.,KIMBERLY CLARK,part803_maude,26,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
"Medline Industries, Inc.",MEDLINE INDUSTRIES,part806_recall,26,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
MEDICAL INNOVATIONS CORP.,MEDICAL INNOVATIONS,part803_maude,25,out_of_industry,,15852.0,MEDICAL INNOVATIONS INC,8082.0,,,
CHAD THERAPEUTICS,CHAD THERAPEUTICS,part803_unmatched,25,out_of_industry,,2903.0,CHAD THERAPEUTICS INC,9995.0,,,
EDWARDS,EDWARDS,part803_unmatched,25,out_of_industry,,170960.0,EDWARDS GROUP LTD  -ADR,3560.0,,,
PROCTER AND GAMBLE,PROCTER AND GAMBLE,part803_maude,25,out_of_industry,,8762.0,PROCTER & GAMBLE CO,2840.0,,,
"HILL-ROM CO, INC.",HILL ROM,part803_maude,24,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
"Tripath Imaging, Inc.",TRIPATH IMAGING,part806_recall,24,out_of_industry,,65368.0,TRIPATH IMAGING INC,3826.0,,,
"CARDINAL HEALTH, INC",CARDINAL HEALTH,part803_maude,24,out_of_industry,,2751.0,CARDINAL HEALTH INC,5122.0,,,
NEWPORT,NEWPORT,part803_unmatched,24,out_of_industry,,7883.0,NEWPORT CORP,3690.0,,,
ENCORE,ENCORE,part803_unmatched,24,out_of_industry,,1470.0,ENCORE GROUP INC,3690.0,,,
BIOMEDICAL,BIOMEDICAL,part803_unmatched,24,out_of_industry,,27879.0,US BIOMEDICAL CORP,9995.0,,,
BECKMAN-COULTER,BECKMAN COULTER,part803_maude,23,out_of_industry,,15106.0,BECKMAN COULTER INC,3826.0,,,
TORAY INDUSTRIES,TORAY INDUSTRIES,part803_unmatched,23,out_of_industry,,100724.0,TORAY INDUSTRIES INC,2820.0,,,
IRELAND,IRELAND,part803_unmatched,23,out_of_industry,,148409.0,IRELAND INC,1000.0,,,
"MEDLINE INDUSTRIES,LP",MEDLINE INDUSTRIES,part803_maude,22,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
GLOBAL,GLOBAL,part803_maude,22,out_of_industry,,180503.0,GLOBAL HOLDINGS INC,6510.0,,,
BAYER CORP,BAYER,part803_maude,22,out_of_industry,,100080.0,BAYER AG,2800.0,,,
Zimmer Inc,ZIMMER,part806_recall,20,out_of_industry,,11685.0,ZIMMER CORP,3716.0,,,
Cepheid,CEPHEID,part806_recall,19,out_of_industry,,136804.0,CEPHEID INC,3826.0,,,
AGILENT TECHNOLOGIES INC,AGILENT TECHNOLOGIES,part803_maude,19,out_of_industry,,126554.0,AGILENT TECHNOLOGIES INC,3826.0,,,
Bio-Rad Laboratories,BIO RAD LABORATORIES,part806_recall,18,out_of_industry,,2220.0,BIO-RAD LABORATORIES INC,3826.0,,,
CHURCH & DWIGHT CO.,CHURCH AND DWIGHT,part803_maude,17,out_of_industry,,3026.0,CHURCH & DWIGHT INC,2840.0,,,
"CHURCH & DWIGHT CO.,",CHURCH AND DWIGHT,part803_maude,16,out_of_industry,,3026.0,CHURCH & DWIGHT INC,2840.0,,,
KIMBERLY - CLARK CORP.,KIMBERLY CLARK,part803_maude,15,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
"STAAR SURGICAL, CO.",STAAR SURGICAL,part803_maude,14,out_of_industry,,9969.0,STAAR SURGICAL CO,3851.0,,,
Ecolab Inc,ECOLAB,part806_recall,14,out_of_industry,,4213.0,ECOLAB INC,2842.0,,,
Osteotech Inc,OSTEOTECH,part806_recall,14,out_of_industry,,24198.0,OSTEOTECH INC,8090.0,,,
AGILENT TECHNOLOGIES INC.,AGILENT TECHNOLOGIES,part803_maude,13,out_of_industry,,126554.0,AGILENT TECHNOLOGIES INC,3826.0,,,
KIMBERLY CLARK CORP,KIMBERLY CLARK,part803_maude,13,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
CEPHEID AB,CEPHEID,part803_maude,13,out_of_industry,,136804.0,CEPHEID INC,3826.0,,,
CONAIR LLC,CONAIR,part803_maude,13,out_of_industry,,13148.0,CONAIR CORP/DE,3634.0,,,
"FRESENIUS MEDICAL CARE HOLDINGS, INC.",FRESENIUS MEDICAL CARE,part803_maude,13,out_of_industry,,212782.0,FRESENIUS MEDICAL CARE AG,8090.0,,,
CONAIR CORP,CONAIR,part803_maude,13,out_of_industry,,13148.0,CONAIR CORP/DE,3634.0,,,
Church & Dwight Inc,CHURCH AND DWIGHT,part806_recall,12,out_of_industry,,3026.0,CHURCH & DWIGHT INC,2840.0,,,
"BIO-RAD LABORATORIES, INC",BIO RAD LABORATORIES,part803_maude,11,out_of_industry,,2220.0,BIO-RAD LABORATORIES INC,3826.0,,,
"Sunquest Information Systems, Inc.",SUNQUEST INFORMATION SYSTEMS,part806_recall,11,out_of_industry,,62966.0,SUNQUEST INFORMATION SYS INC,7373.0,,,
"HILL-ROM,INC.",HILL ROM,part803_maude,11,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
Staar Surgical Company,STAAR SURGICAL,part806_recall,11,out_of_industry,,9969.0,STAAR SURGICAL CO,3851.0,,,
Integra Limited,INTEGRA,part806_recall,10,out_of_industry,,30291.0,INTEGRA INC,8093.0,,,
HILL-ROM COMPANY,HILL ROM,part803_maude,10,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
ZIMMER,ZIMMER,part803_maude,10,out_of_industry,,11685.0,ZIMMER CORP,3716.0,,,
"Vital Images, Inc.",VITAL IMAGES,part806_recall,10,out_of_industry,,64767.0,VITAL IMAGES INC,7372.0,,,
"HILL ROM COMPANY, INC.",HILL ROM,part803_maude,9,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
"HILL ROM, INC.",HILL ROM,part803_maude,9,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
HILL-ROM CO.,HILL ROM,part803_maude,9,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
