cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain
790652,IMAGING DIAGNOSTIC SYSTEMS INC /FL/  (CIK 0000790652),3845.0,0000790652-04-000013,a8-k_012904.txt,2004-02-02,2004-01-29,5,"""warning letter""",https://www.sec.gov/Archives/edgar/data/790652/000079065204000013/a8-k_012904.txt,exhibit_top,1746,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True
790652,IMAGING DIAGNOSTIC SYSTEMS INC /FL/  (CIK 0000790652),3845.0,0000790652-04-000014,a8-k_021004.txt,2004-02-10,2004-02-10,5,"""warning letter""",https://www.sec.gov/Archives/edgar/data/790652/000079065204000014/a8-k_021004.txt,exhibit_top,1664,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True
816066,APPLIED IMAGING CORP  (CIK 0000816066),3841.0,0000816066-03-000002,k8-062003.txt,2003-06-20,2003-06-20,5,"""warning letter""",https://www.sec.gov/Archives/edgar/data/816066/000081606603000002/k8-062003.txt,exhibit_top,1486,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
856982,MERIT MEDICAL SYSTEMS INC  (MMSI)  (CIK 0000856982),3841.0,0000856982-12-000004,a8-kwarningletter.htm,2012-02-09,2012-02-07,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/856982/000085698212000004/a8-kwarningletter.htm,item_anchored,2271,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
856982,MERIT MEDICAL SYSTEMS INC  (MMSI)  (CIK 0000856982),3841.0,0000856982-12-000004,pressrelease.htm,2012-02-09,2012-02-07,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/856982/000085698212000004/pressrelease.htm,exhibit_top,5849,True,True,True,False,False,False,False,False,False,1,1,4,1,0,0,0,0,device,True
885725,BOSTON SCIENTIFIC CORP  (BSX)  (CIK 0000885725),3841.0,0000885725-17-000043,productupdatepressrelease.htm,2017-11-29,2017-11-28,8.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/885725/000088572517000043/productupdatepressrelease.htm,exhibit_top,5529,True,False,False,False,False,True,True,False,False,1,1,1,1,0,0,0,0,device,True
727510,ENZON INC  (ENZN)  (CIK 0000727510),2836.0,0000891554-02-003853,d504868_8-k.txt,2002-06-12,2002-06-12,5,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/727510/000089155402003853/d504868_8-k.txt,exhibit_top,3798,True,False,False,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False
794172,MERIDIAN BIOSCIENCE INC  (CIK 0000794172),2835.0,0000892251-01-500067,form8k-61301.html,2001-06-20,2001-06-13,5,"""warning letter""",https://www.sec.gov/Archives/edgar/data/794172/000089225101500067/form8k-61301.html,exhibit_top,2922,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1043055,LEINER HEALTH PRODUCTS INC  (CIK 0001043055),2834.0,0000892569-07-001185,a33495e8vk.htm,2007-09-05,2007-09-05,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1043055/000089256907001185/a33495e8vk.htm,item_anchored,3176,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1033660,ANIMAS CORP  (CIK 0001033660),3842.0,0000893220-05-000799,w07805exv99w1.htm,2005-04-13,2005-04-11,7.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1033660/000089322005000799/w07805exv99w1.htm,exhibit_top,5846,True,False,False,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False
203077,ST JUDE MEDICAL INC  (CIK 0000203077),3845.0,0000897101-09-000842,stjude091840_8k.htm,2009-04-21,2009-04-21,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/203077/000089710109000842/stjude091840_8k.htm,item_anchored,3393,True,True,True,False,False,False,False,False,False,1,1,3,1,0,0,0,0,device,True
203077,ST JUDE MEDICAL INC  (CIK 0000203077),3845.0,0000897101-09-001359,stjude093008_8k.htm,2009-07-02,2009-07-01,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/203077/000089710109001359/stjude093008_8k.htm,item_anchored,3225,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True
203077,ST JUDE MEDICAL INC  (CIK 0000203077),3845.0,0000897101-13-000058,stjude130160_8k.htm,2013-01-14,2013-01-11,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/203077/000089710113000058/stjude130160_8k.htm,item_anchored,4344,True,True,True,False,False,False,False,False,False,1,1,4,2,0,0,0,0,device,True
