product_code,dev_device_name,dev_device_class,dev_medical_specialty,dev_medical_specialty_description,dev_review_panel,dev_regulation_number,dev_definition,dev_implant_flag,dev_life_sustain_support_flag,dev_gmp_exempt_flag,dev_third_party_flag,dev_summary_malfunction_reporting,dev_submission_type_id,dev_unclassified_reason,dev_device_class_num,dev_implant_flag_bool,dev_life_sustain_support_flag_bool,dev_gmp_exempt_flag_bool,dev_third_party_flag_bool
MIV,"Immunofluorescent Assay, T. Cruzi",1,MI,Microbiology,MI,866.3870,,N,N,N,Y,Eligible,1,,1,False,False,False,True
GWW,Ataxiagraph,1,NE,Neurology,NE,882.1030,Exemption is limited to devices that do not provide an interpretation or a clinical implication of the measurement.,N,N,N,N,Eligible,4,,1,False,False,False,False
SGE,Extracranial Positional System For A Transcranial Magnetic Stimulation System,2,NE,Neurology,NE,882.4560,Intended for spatial positioning and orientation of the treatment coil for transcutaneous magnetic stimulation systems under the supervision of a tracking system.,N,N,N,N,Ineligible,1,,2,False,False,False,False
KDL,"Set, Perfusion, Kidney, Disposable",2,GU,"Gastroenterology, Urology",GU,876.5880,,N,N,N,N,Ineligible,1,,2,False,False,False,False
ODH,Implantable Bladder-Evacuation Electrical Stimulation System,f,,Unknown,GU,,To provide urination on demand and to reduce post-void residual volumes of urine in patients who have clinically complete spinal cord lesions (asia classification) with intact parasympathetic innervations of the bladder and are skeletally mature and neurologically stable.,Y,N,N,N,Eligible,6,,,True,False,False,False
DFZ,"Igg (Gamma Chain Specific), Antigen, Antiserum, Control",2,IM,Immunology,IM,866.5510,,N,N,N,Y,Eligible,1,,2,False,False,False,True
KYH,"Endoscope, Ophthalmic",2,GU,"Gastroenterology, Urology",OP,876.1500,,N,N,N,Y,Eligible,1,,2,False,False,False,True
IXL,"Device, Spot-Film",2,RA,Radiology,RA,892.1670,,N,N,N,N,Eligible,4,,2,False,False,False,False
KXJ,"Table, Radiologic",2,RA,Radiology,RA,892.1980,,N,N,N,N,Eligible,4,,2,False,False,False,False
NOD,"Board, Arm (With Cover), Non-Sterile",1,SU,"General, Plastic Surgery",SU,878.3910,,N,N,Y,N,Eligible,4,,1,False,False,True,False
NSA,Over-The-Counter Automated External Defibrillator,3,CV,Cardiovascular,CV,870.5310,"Automated external defibrillators are devices that use external pad-type electrodes to sense, detect, classify and treat (with an electrical shock) ventricular fibrillation.  These devices are intended to be used on suspected victims of sudden cardiac arrest.  A person in cardiac arrest is unresponsive and is not breathing normally.  The device can be sold over-the-counter without a prescription.  The device is to be used on adults and children who are either > 8 years old or > 55 lbs.",N,Y,N,N,Ineligible,2,,3,False,True,False,False
GCW,"Transformer, Endoscope",2,GU,"Gastroenterology, Urology",GU,876.1500,,N,N,N,N,Eligible,4,,2,False,False,False,False
FQK,"Binder, Perineal",1,HO,General Hospital,HO,880.5160,,N,N,Y,N,Eligible,4,,1,False,False,True,False
LJY,"Enzyme Linked Immunoabsorbent Assay, Mumps Virus",1,MI,Microbiology,MI,866.3380,,N,N,N,N,Eligible,4,,1,False,False,False,False
LBZ,"Enzyme Immunoassay, Quinidine",2,TX,Clinical Toxicology,TX,862.3320,,N,N,N,Y,Eligible,1,,2,False,False,False,True
RCG,"Cabinet X-Ray, Security (Includes Baggage X-Ray)",N,,Unknown,,,"A cabinet x-ray system used to examine the contents of containers such as airline baggage, brief cases, and purses to detect weapons or other contraband.",,,Y,,Ineligible,,,,,,True,
RGT,"Spectroscopy, Ultraviolet Fluorescence",N,,Unknown,,,An ultraviolet wavelength noncoherent light source used to stimulate ultraviolet fluorescence.,,,Y,,Ineligible,,,,,,True,
MWQ,"System, Test, Total Antioxidant Status",3,,Unknown,CH,,,N,N,N,N,Eligible,2,,3,False,False,False,False
DST,"Clip, Vena-Cava",2,CV,Cardiovascular,CV,870.3260,,Y,N,N,N,Eligible,1,,2,True,False,False,False
FON,"Bag, Drainage, With Adhesive, Ostomy",1,GU,"Gastroenterology, Urology",GU,876.5900,,N,N,N,N,Eligible,4,,1,False,False,False,False
QFZ,Gastroenterology-Urology Accessories To A Biopsy Instrument,1,GU,"Gastroenterology, Urology",GU,876.1080,A gastroenterology-urology accessory to a biopsy instrument is an accessory used to remove a specimen of tissue for microscopic examination by cutting or aspiration.  This generic type of device includes a syringe for specimen aspiration and a biopsy channel adaptor.  This device does not include accessories to biopsy instruments used in other medical specialty areas.,N,N,N,N,Ineligible,4,,1,False,False,False,False
MDP,"Separator For Therapeutic Purposes, Membrane Automated Blood Cell/Plasma",3,,Unknown,GU,,,N,N,N,N,Ineligible,2,,3,False,False,False,False
FXP,"Cover, Shoe, Operating-Room",1,SU,"General, Plastic Surgery",HO,878.4040,,N,N,N,N,Eligible,4,,1,False,False,False,False
PQH,Iodinated Contrast Media Transfer Tubing Set,2,HO,General Hospital,HO,880.5440,The iodinated contrast media transfer set is intended to transfer iodinated contrast media from imaging bulk package contrast media in a controlled ambient environment.  The transfer set is intended to be used to directly fill multiple sterile single use syringes from an imaging bulk package contrast media bulk package under controlled ambient filling conditions such as a CT suite.,N,N,N,N,Eligible,1,,2,False,False,False,False
MAC,Decontamination Kit,1,SU,"General, Plastic Surgery",HO,878.4014,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,N,N,N,Eligible,7,,1,False,False,False,False
DGC,"Ige, Antigen, Antiserum, Control",2,IM,Immunology,IM,866.5510,,N,N,N,Y,Eligible,1,,2,False,False,False,True
HML,"Euthyscope, Battery-Powered",1,OP,Ophthalmic,OP,886.1250,,N,N,N,N,Eligible,4,,1,False,False,False,False
RHC,"High Pressure Mercury, Metal Halide, And Mercury Xenon Lamp (Not For General Purpose Illumination)",N,,Unknown,,,"A high pressure mercury vapor, metal halide, or mercury xenon lamp used for a specific purpose and not intended for general purpose illumination.  Specific examples are lamps used in scientific and industrial equipment, projection televisions and computer projectors, searchlights, etc.",,,Y,,Ineligible,,,,,,True,
DYO,"Band, Material, Orthodontic",1,DE,Dental,DE,872.5410,,N,N,N,N,Eligible,4,,1,False,False,False,False
EGG,"Attachment, Precision, All",1,DE,Dental,DE,872.3165,,N,N,N,N,Eligible,4,,1,False,False,False,False
GPZ,"Antisera, Cf, Reovirus 1-3",1,MI,Microbiology,MI,866.3470,,N,N,N,N,Eligible,4,,1,False,False,False,False
QRI,Surgical Planning Software For Neurological Stereotaxic Instruments,2,NE,Neurology,NE,882.4560,A surgical planning software for neurological stereotaxic instruments is intended as a stand-alone software device used for pre- and intra-operative planning of stereotactic or image-guided surgeries.,N,N,N,N,Ineligible,1,,2,False,False,False,False
MLT,Pelvic Exam Kit,2,OB,Obstetrics/Gynecology,OB,884.4530,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This kit, as described in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market.",N,N,N,N,Eligible,7,,2,False,False,False,False
HRL,"Unit, Beta, Radiation, Ophthalmic",2,OP,Ophthalmic,OP,886.5100,,N,N,N,Y,Eligible,1,,2,False,False,False,True
PFK,Quality Control For Molecular Immunohematology Tests,2,HE,Hematology,PA,864.9650,The quality control for molecular immunohematology assay is used to demonstrate that the test can correctly detect genetic variations of human erythrocyte antigens.,N,N,N,Y,Eligible,1,,2,False,False,False,True
GIZ,"Plasma, Control, Normal",2,HE,Hematology,HE,864.5425,,N,N,N,N,Eligible,4,,2,False,False,False,False
QGP,Posterior Ratcheting Rod System,N,,Unknown,OR,,Stabilization or correction of adolescent idiopathic scoliosis without the use of fusion.,Y,N,N,N,Ineligible,6,9,,True,False,False,False
LXC,"Monitor, Pressure, Intracompartmental",U,,Unknown,OR,,,N,N,N,N,Eligible,1,1,,False,False,False,False
PKB,Autosomal Recessive Carrier Screening Gene Mutation Detection System,2,IM,Immunology,PA,866.5940,"Autosomal recessive carrier screening gene mutation detection system is a qualitative in vitro molecular diagnostic system used for genotyping of clinically relevant variants in genomic DNA isolated from human peripheral whole blood or saliva specimens  intended for prescription use or over-the-counter use. The device is intended for autosomal recessive disease carrier screening in adults of reproductive age. The device is not intended for copy number variation, cytogenetic, or biochemical testing.",N,N,N,N,Ineligible,1,,2,False,False,False,False
JMM,"Column Chromatography & Color Development, Hydroxyproline",1,CH,Clinical Chemistry,CH,862.1400,,N,N,N,N,Eligible,4,,1,False,False,False,False
OHS,Light Based Over The Counter Wrinkle Reduction,2,SU,"General, Plastic Surgery",SU,878.4810,Use of light based treatment to reduce  wrinkles on the body in general or specific anatomical locations depending on the information provided.,N,N,N,N,Eligible,1,,2,False,False,False,False
DZG,"Suture, Dental",3,,Unknown,SU,,,Y,N,N,N,Eligible,2,,3,True,False,False,False
IQE,"Orthosis, Lumbar",1,PM,Physical Medicine,PM,890.3490,,N,N,Y,N,Eligible,4,,1,False,False,True,False
GBP,"Catheter, Multiple Lumen",1,SU,"General, Plastic Surgery",SU,878.4200,,N,N,N,N,Eligible,4,,1,False,False,False,False
KWW,"Radioimmunoassay, Cholyglycine, Bile Acids",2,CH,Clinical Chemistry,CH,862.1177,,N,N,N,Y,Eligible,1,,2,False,False,False,True
OXD,"Mesh, Surgical, Non-Absorbable, Staple Line Reinforcement",2,SU,"General, Plastic Surgery",SU,878.3300,For reinforcement of soft tissue where weakness exists during staple line reinforcement procedures.,Y,N,N,N,Eligible,1,,2,True,False,False,False
KNY,"Accessories, Catheter, G-U",2,GU,"Gastroenterology, Urology",GU,876.5130,,N,N,N,Y,Eligible,1,,2,False,False,False,True
HEF,"Binder, Breast",1,HO,General Hospital,HO,880.5160,,N,N,Y,N,Eligible,4,,1,False,False,True,False
PWN,Baby Care Kit,2,HO,General Hospital,HO,880.5700,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,N,N,N,Eligible,7,,2,False,False,False,False
EPY,"Speculum, Ent",1,SU,"General, Plastic Surgery",SU,878.1800,,N,N,N,N,Eligible,4,,1,False,False,False,False
FZS,"Curette, Surgical, General Use",1,SU,"General, Plastic Surgery",SU,878.4800,,N,N,N,N,Eligible,4,,1,False,False,False,False
QGM,"Focused Ultrasound System For Non-Thermal, Mechanical Tissue Ablation",2,SU,"General, Plastic Surgery",SU,878.4405,This device uses focused ultrasound to mechanically ablate soft tissue. The device is not intended to thermally ablate tissue.,N,N,N,N,Ineligible,1,,2,False,False,False,False
EKK,"Spreader, Pulp Canal Filling Material, Endodontic",1,DE,Dental,DE,872.4565,,N,N,N,N,Eligible,4,,1,False,False,False,False
LQR,"Dislodger, Stone, Biliary",2,GU,"Gastroenterology, Urology",GU,876.5010,,N,N,N,Y,Eligible,1,,2,False,False,False,True
LIB,"Device, General Purpose, Microbiology, Diagnostic",1,MI,Microbiology,MI,866.2660,,N,N,N,N,Eligible,4,,1,False,False,False,False
