sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
karyopharm therapeutics,018930,resolved,100.0,KARYOPHARM THERAPEUTICS INC,KPTI,0001503802,14316
karuna therapeutics,035290,resolved,100.0,KARUNA THERPEUTICS INC,KRTX,0001771917,18777
kamada,287111,resolved,100.0,KAMADA LTD,KMDA,0001567529,13930
kalvista pharmaceuticals,029251,resolved,100.0,KALVISTA PHARMACEUTICALS,KALV,0001348911,15285
kadmon a sanofi,027476,resolved,100.0,KADMON HOLDINGS INC,KDMN,0001557142,16154
kadmon,027476,resolved,100.0,KADMON HOLDINGS INC,KDMN,0001557142,16154
jounce therapeutics,029684,resolved,100.0,JOUNCE THERAPEUTICS INC,JNCE,0001640455,16570
kyverna therapeutics,043843,resolved,100.0,KYVERNA THERAPEUTICS INC,KYTX,0001994702,24822
mannkind,160340,resolved,100.0,MANNKIND CORP,MNKD,0000899460,90285
marinus pharmaceuticals,020567,resolved,100.0,MARINUS PHARMACEUTICALS INC,MRNS,0001267813,14815
myokardia,026269,resolved,100.0,MYOKARDIA INC,MYOK,0001552451,15788
mural oncology,043551,resolved,100.0,MURAL ONCOLOGY PLC,MURA,0001971543,24495
motif bio,319507,resolved,100.0,MOTIF BIO PLC,MTFB,0001674657,16469
morphosys,231016,resolved,100.0,MORPHOSYS AG,MOR,0001340243,17694
moonlake immunotherapeutics,037240,resolved,100.0,MOONLAKE IMMUNOTHERAPEUTICS,MLTX,0001821586,19966
momenta pharmaceuticals,264414,resolved,100.0,MOMENTA PHARMACEUTICALS INC,MNTA,0001235010,90233
molecular partners,318525,resolved,100.0,MOLECULAR PARTNERS AG,MOLN,0001745114,21572
molecular insight pharmaceuticals,166200,resolved,100.0,MOLECULAR INSIGHT PHARMACTLS,MIPIQ,0001340752,91820
mirum pharmaceuticals,035375,resolved,100.0,MIRUM PHARMACEUTICALS INC,MIRM,0001759425,18846
mirati therapeutics,160770,resolved,100.0,MIRATI THERAPEUTICS INC,MRTX,0001576263,14054
