sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
"sention therapeutics, llc",065838,fuzzy_extended,92.3076923076923,SEVION THERAPEUTICS INC,SVON,,89411
sentient research,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
senti biosciences,038783,fuzzy_extended,100.0,SENTI BIOSCIENCES INC,SNTI,0001854270,21286
sensus,026908,fuzzy_extended,100.0,SENSUS HEALTHCARE INC,SRTS,0001494891,16145
academy for educational development,004225,fuzzy_extended,100.0,EDUCATIONAL DEVELOPMENT CORP,EDUC,0000031667,31668
xeolas pharmaceuticals limited,247881,fuzzy_extended,93.87755102040816,GW PHARMACEUTICALS LIMITED,GWPH,0001351288,13926
"beijing duheng for drug evaluation and research co., ltd. (dder)",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"beijing gene key life technology co., ltd",028641,fuzzy_extended,100.0,KEY TECHNOLOGY INC,KTEC.1,0000906193,79399
"xenetic biosciences, inc",237269,fuzzy_extended,100.0,XENETIC BIOSCIENCES INC,XBIO,0001534525,16473
ab medica spa,021136,fuzzy_extended,100.0,AMERICAN BIO MEDICA CORP,ABMC,0000896747,85671
sano v pte ltd,061503,fuzzy_extended,100.0,SANO CORP,SANO,0001001259,82610
"alliqua biomedical, inc",185495,fuzzy_extended,100.0,ALLIQUA BIOMEDICAL INC,ALQA,,14420
teva pharmaceuticals europe,014538,fuzzy_extended,100.0,TEVA PHARMACEUTICALS,TEVA,0000818686,75652
sano chemicals inc,061503,fuzzy_extended,100.0,SANO CORP,SANO,0001001259,82610
"santech, inc",038419,fuzzy_extended,100.0,SANTECH HOLDINGS LTD -ADR,STEC,0001785680,20813
amneal pharmaceuticals co. india private limited,018888,fuzzy_extended,100.0,AMNEAL PHARMACEUTICALS INC,AMRX,0001723128,82702
"abfero pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"abela pharmaceuticals, inc",037292,fuzzy_extended,93.87755102040816,ATEA PHARMACEUTICALS INC,AVIR,0001593899,19939
allergan s.a. de c.v,015708,fuzzy_extended,100.0,ALLERGAN INC,AGN.2,0000850693,75646
"ability prosthetics and orthotics, inc",026754,fuzzy_extended,100.0,ABILITY INC,ABILF,0001652866,14421
world health research inc,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
world heart corporation,064132,fuzzy_extended,100.0,WORLD HEART CORP,WHRT,0001024520,84352
"wound care plus, llc",002761,fuzzy_extended,100.0,CARE PLUS INC,CPLS.1,0000726330,21486
ablelink smart living technologies,182331,fuzzy_extended,100.0,SMART TECHNOLOGIES INC,SMT,0001489147,12027
alliance pharmaceuticals,011793,fuzzy_extended,97.87234042553192,ALLIANCE PHARMACEUTICAL,ALLP,0000736994,60090
xspline s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
abbott research group,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
abdera therapeutics inc,020018,fuzzy_extended,93.61702127659575,ALDEYRA THERAPEUTICS INC,ALDX,0001341235,14647
sciclone pharmaceuticals international (cayman) development limited,025047,fuzzy_extended,100.0,SCICLONE PHARMACEUTICALS LLC,SCLN,0000880771,77413
behavioral health of the palm beaches,132502,fuzzy_extended,100.0,PALM INC,PALM,0001100389,87800
zespri international limited,037612,fuzzy_extended,93.33333333333333,TH INTERNATIONAL LIMITED,THCH,0001877333,23427
3sbio au pty ltd,176660,fuzzy_extended,100.0,3SBIO INC,SSRX,0001677235,91833
ico therapeutics inc,005826,fuzzy_extended,100.0,ICO INC,ICOC,0000353567,64258
rediscovery life sciences,006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
biolase inc,023291,fuzzy_extended,100.0,BIOLASE INC,BIOLQ,0000811240,78071
recovery record research,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"biomed research & technologies, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
titan spine,010588,fuzzy_extended,100.0,TITAN CORP,TTN,0000032258,48696
biomedica foscama s.p.a. industria chimico-farmaceutica,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
biomx ltd,035814,fuzzy_extended,100.0,BIOMX INC,PHGE,0001739174,18419
"reata, a wholly owned subsidiary of biogen",024468,fuzzy_extended,100.0,BIOGEN INC,BIIB,0000875045,76841
real time diagnostics ventures inc,019580,fuzzy_extended,100.0,TIME INC,TIME.,0001591517,14637
"reacx pharmaceuticals, inc",028470,fuzzy_extended,93.61702127659575,RA PHARMACEUTICALS INC,RARX,0001481512,16398
bioelectric research corporation,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"tolera therapeutics, inc",018350,fuzzy_extended,93.33333333333333,OCERA THERAPEUTICS INC,OCRX,0001274644,12698
exrt intelligent healthcare,042969,fuzzy_extended,100.0,INTELLIGENT GROUP LTD,INTJ,0001916416,24946
4b technologies limited,001117,fuzzy_extended,93.33333333333333,BK TECHNOLOGIES CORP,BKTI,0000002186,10779
"remedy robotics, inc",031622,fuzzy_extended,100.0,REMEDY CORP,RMDY,0000936653,81506
biodexa pharmaceuticals,318815,fuzzy_extended,100.0,BIODEXA PHARMACEUTICALS PLC,BDRX,0001643918,15904
reiley pharmaceuticals inc,028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"engene, inc",040321,fuzzy_extended,100.0,ENGENE HOLDINGS INC,ENGN,0001980845,24566
"thomas wright, md",028770,fuzzy_extended,100.0,THOMAS GROUP INC,TGISQ,0000900017,79529
thorasys thoracic medical systems inc,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"ibio, inc",180683,fuzzy_extended,100.0,IBIO INC,IBIO,0001420720,12527
thomas antalffy,028770,fuzzy_extended,100.0,THOMAS GROUP INC,TGISQ,0000900017,79529
redent nova,133905,fuzzy_extended,100.0,NOVA LTD,NVMI,0001109345,88181
20/10 perfect vision,037669,fuzzy_extended,100.0,PERFECT CORP,PERF,0001899830,23498
"bios-therapy, physiological systems for health s.p.a",001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
rh nanopharmaceuticals,111873,fuzzy_extended,100.0,RH,RH,0001528849,13687
altura,038491,fuzzy_extended,92.3076923076923,KALTURA INC,KLTR,0001432133,21737
altum pharmaceuticals inc,165857,fuzzy_extended,96.0,ALTUS PHARMACEUTICALS INC,ALTUQ,0001340744,91074
"biora therapeutics, inc",036619,fuzzy_extended,100.0,BIORA THERAPEUTICS INC,BIORQ,0001580063,19486
"22nd century limited, llc",017185,fuzzy_extended,100.0,22ND CENTURY GROUP INC,XXII,0001347858,14523
r&r inc,002269,fuzzy_extended,100.0,BLOCK H & R INC,HRB,0000012659,49373
alternative urological catheter systems ltd,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
re.doctor llc,062015,fuzzy_extended,100.0,COMPANY DOCTOR,CDOC.,0000921612,83117
r.a.w. - s.r.l,017157,fuzzy_extended,100.0,W HOLDING CO INC,WHCI,0001084887,93105
rd global araştirma geliştirme sağlik ilaç inşaat yatirimlari a.ş,016273,fuzzy_extended,100.0,GLOBAL A INC,3GLOAE,0000824768,75977
"1800 contacts, inc",066425,fuzzy_extended,97.14285714285714,1-800 CONTACTS INC,CTAC.1,0001050122,85814
r3 medical research,009074,fuzzy_extended,100.0,RESEARCH MEDICAL INC,RMED.2,0000083306,66553
"biostime, inc",002248,fuzzy_extended,95.65217391304348,BIOSTIM INC,4514B,0000710376,18279
"titan condoms, llc",010588,fuzzy_extended,100.0,TITAN CORP,TTN,0000032258,48696
isred pharma & biotech research corporation,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
biomet nederland bv,002230,fuzzy_extended,100.0,BIOMET INC,5938B,0000351346,18092
bionano genomics,033749,fuzzy_extended,100.0,BIONANO GENOMICS INC,BNGO,0001411690,18102
mhealth systems inc,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"radnor registry research, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
bionorica research gmbh,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"tianjin ever union biotechnology co., ltd",010859,fuzzy_extended,100.0,UNION CORP,UCO.,0000100817,44433
2seventy bio,039907,fuzzy_extended,100.0,2SEVENTY BIO INC,TSVT,0001860782,22245
"bioconnect systems, inc",025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
theragenics corporation,012691,fuzzy_extended,100.0,THERAGENICS CORP,TGX,0000795551,10644
"acr biologics, llc",021686,fuzzy_extended,100.0,ACR GROUP INC,BRR,0000711307,76276
rna diagnostics inc,128098,fuzzy_extended,92.3076923076923,ERBA DIAGNOSTICS INC,ERBA,0001095858,88926
riverside pharmacueticals corporation,009161,fuzzy_extended,100.0,RIVERSIDE GROUP INC,RSGI,0000277356,67062
"abo holdings, inc",177925,fuzzy_extended,94.11764705882354,WABCO HOLDINGS INC,WBC,0001390844,92188
zi diligence biocenter,026264,fuzzy_extended,100.0,ZI CORP,ZICA,0000922658,80643
zilia inc,016488,fuzzy_extended,94.11764705882354,ZILA INC,ZILA,0000827156,76008
"therakos, inc., a mallinckrodt company",006096,fuzzy_extended,100.0,MALLINCKRODT INC,MKG,0000051396,12511
aim therapeutics inc,035714,fuzzy_extended,92.6829268292683,BEAM THERAPEUTICS INC,BEAM,0001745999,19228
rowdy energy,007824,fuzzy_extended,100.0,NV ENERGY INC,NVE,0000741508,38658
rowan,009258,fuzzy_extended,100.0,ROWAN COMPANIES LTD,RDC,0000085408,45495
zero point five therapeutics,030012,fuzzy_extended,100.0,POINT THERAPEUTICS INC,POTP,,80452
rostaquo s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
"toro neurovascular, inc",010618,fuzzy_extended,100.0,TORO CO,TTC,0000737758,60580
"rubedo life sciences, inc",006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
"zeno pharmaceuticals, inc",004409,fuzzy_extended,93.87755102040816,ENZON PHARMACEUTICALS INC,ENZN,0000727510,33137
bio2 technologies,062712,fuzzy_extended,93.75,I2 TECHNOLOGIES INC,ITWO.1,0001009304,83386
rose pharma inc,013281,fuzzy_extended,100.0,ROSE CORP,3TRSEF,0000351076,78404
zeta technologies,013443,fuzzy_extended,94.11764705882354,XETA TECHNOLOGIES INC,XETA,0000742550,11426
alpha republic gmbh,009057,fuzzy_extended,100.0,REPUBLIC CORP,REP.1,0000202995,22621
"zynex medical, inc",129441,fuzzy_extended,100.0,ZYNEX INC,ZYXI,0000846475,18418
thermo fisher scientific oy,010530,fuzzy_extended,100.0,THERMO FISHER SCIENTIFIC INC,TMO,0000097745,62092
amarin neuroscience ltd,028027,fuzzy_extended,100.0,AMARIN CORPORATION PLC,AMRN,0000897448,79122
"arigen pharmaceuticals, inc",018749,fuzzy_extended,94.11764705882354,AERIE PHARMACEUTICALS INC,AERI,0001337553,14238
"thermarx, inc",063094,fuzzy_extended,92.3076923076923,THERMATRIX INC,3TMXIQ,0000929473,83700
"zyversa therapeutics, inc",038804,fuzzy_extended,100.0,ZYVERSA THERAPEUTICS INC,ZVSA,0001859007,22781
alpine biotech llc,001331,fuzzy_extended,100.0,ALPINE GROUP INC,APNI,0000004164,68814
research institute of geroprotective technologies,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
research consult gmbh,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"research center, llc",061117,fuzzy_extended,100.0,LEGAL RESEARCH CENTER INC,LRCI,0000945506,82188
"thesan pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
theseus pharmaceuticals,039665,fuzzy_extended,100.0,THESEUS PHARMACEUTICALS INC,THRX,0001745020,22240
decode genetics,137803,fuzzy_extended,100.0,DECODE GENETICS INC,DCGNQ,0001022974,88432
"biocept, inc",019117,fuzzy_extended,100.0,BIOCEPT INC,BIOCQ,0001044378,14449
"renovis surgical technologies, inc",022264,fuzzy_extended,100.0,SURGICAL TECHNOLOGIES INC,SGTI.,,76174
resolution blue labs inc,155758,fuzzy_extended,100.0,BLUE HOLDINGS INC,BLHI,0001139683,91170
biome inc,002230,fuzzy_extended,94.73684210526315,BIOMET INC,5938B,0000351346,18092
"ambros therapeutics, inc",187720,fuzzy_extended,93.33333333333333,ARGOS THERAPEUTICS INC,ARGSQ,0001105533,14447
therapeutics: 101 inc,031294,fuzzy_extended,92.3076923076923,G1 THERAPEUTICS INC,GTHX,0001560241,16705
restore medical ltd,174050,fuzzy_extended,100.0,RESTORE MEDICAL INC,REST,0001350620,91284
bioms technology corp,030233,fuzzy_extended,92.6829268292683,IBIS TECHNOLOGY CORP,IBIS,0000855182,80537
a2a pharmaceuticals inc,012250,fuzzy_extended,93.61702127659575,AMAG PHARMACEUTICALS INC,AMAG,0000792977,10363
"revelation biosciences, inc",036848,fuzzy_extended,100.0,REVELATION BIOSCIENCES INC,REVB,0001810560,20163
"biolink life sciences, inc",006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
results group llc,120720,fuzzy_extended,100.0,NEWGEN RESULTS CORP,NWGN.,0001022397,86906
biorestorative therapies,066042,fuzzy_extended,100.0,BIORESTORATIVE THERAPIES INC,BRTX,0001505497,22289
amarna stem cells bv,038722,fuzzy_extended,100.0,STEM INC,STEM,0001758766,19919
respirics inc,014385,fuzzy_extended,92.85714285714286,RESPIRONICS INC,RESP.,0000780434,11927
top health s.a.p.i de c.v,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
temple therapeutics bv,039104,fuzzy_extended,92.3076923076923,TEMPEST THERAPEUTICS INC,TPST,0001544227,13883
tsi group ltd,010304,fuzzy_extended,100.0,TSI INC/MN,TSII,0000899217,74481
"tsi, llc",015328,fuzzy_extended,100.0,TSI CORP,TSIN,0000841243,75750
arxx therapeutics,178799,fuzzy_extended,94.11764705882354,ARYX THERAPEUTICS INC,ARYX,0001410064,92430
"stamford pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
u: the mind company,011151,fuzzy_extended,100.0,GROUP INC (THE),THEG,,80603
arvid carlsson research ab,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
vascular neurology of southern california inc,009850,fuzzy_extended,100.0,SOUTHERN CO,SO,0000092122,18411
"stargazer pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"vascular pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"arvinas androgen receptor, inc",034077,fuzzy_extended,100.0,ARVINAS INC,ARVN,0001655759,18100
"aeovian pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
trx wound care limited,163933,fuzzy_extended,100.0,TRX INC,TRXI,0001103025,90912
aldena therapeutics,020018,fuzzy_extended,92.3076923076923,ALDEYRA THERAPEUTICS INC,ALDX,0001341235,14647
"tactical therapeutics, inc",264668,fuzzy_extended,92.0,CRITICAL THERAPEUTICS INC,CRTX.,,90183
vector vitale llc,013963,fuzzy_extended,100.0,VECTOR GROUP LTD,VGR,0000059440,75233
vector y therapeutics,013963,fuzzy_extended,100.0,VECTOR GROUP LTD,VGR,0000059440,75233
"splash pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"springworks therapeutics, inc., a healthcare company of merck kgaa, darmstadt, germany",035600,fuzzy_extended,100.0,SPRINGWORKS THERAPEUTICS INC,SWTX,0001773427,18961
"tyrx, inc",163933,fuzzy_extended,93.33333333333333,TRX INC,TRXI,0001103025,90912
aegis medical innovations,015852,fuzzy_extended,100.0,MEDICAL INNOVATIONS INC,MIXX.,0000835908,75785
aerorx therapeutics inc,035267,fuzzy_extended,93.33333333333333,AKERO THERAPEUTICS INC,AKRO,0001744659,18772
aesthetic group,003172,fuzzy_extended,100.0,COLLAGEN AESTHETIC INC,CGEN.,0000021686,24556
tpm medical systems ltd,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"tkl research, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
albion,001241,fuzzy_extended,100.0,ALBION INTL RESOURCES INC,6584B,,11608
valotec,011097,fuzzy_extended,92.3076923076923,VALTEC CORP,VTEC.,0000102743,80144
"trex bio, inc",119316,fuzzy_extended,100.0,TREX CO INC,TREX,0001069878,86810
stem med pte. ltd,038722,fuzzy_extended,100.0,STEM INC,STEM,0001758766,19919
stem cell medicine ltd,038722,fuzzy_extended,100.0,STEM INC,STEM,0001758766,19919
trx orthopedics,163933,fuzzy_extended,100.0,TRX INC,TRXI,0001103025,90912
"alcon lensx, inc",035056,fuzzy_extended,100.0,ALCON INC,ALC,0001167379,18481
"starx research center, llc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
alcamena stem cell therapeutics,038722,fuzzy_extended,100.0,STEM INC,STEM,0001758766,19919
ucb italy s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
var2 pharmaceuticals,037495,fuzzy_extended,92.3076923076923,ARS PHARMACEUTICALS INC,SPRY,0001671858,20318
varian medical systems,011115,fuzzy_extended,100.0,VARIAN MEDICAL SYSTEMS INC,VAR,0000203527,27043
"tactile systems technology, inc",026847,fuzzy_extended,100.0,TACTILE SYSTEMS TECHNOLOGY,TCMD,0001027838,16186
aspen usa inc,170920,fuzzy_extended,100.0,ASPEN GROUP INC,ASPU,0001487198,16856
sophia genetics sas,039294,fuzzy_extended,100.0,SOPHIA GENETICS SA,SOPH,0001840706,21771
sopherion therapeutics,018162,fuzzy_extended,93.02325581395348,ESPERION THERAPEUTICS INC,ESPR,0001434868,13954
advanced eye research associates,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
alfa wassermann tunisia,016629,fuzzy_extended,100.0,ALFA CORP,ALFA.1,0000743532,34498
alfa intes industria terapeutica splendore s.r.l,016629,fuzzy_extended,100.0,ALFA CORP,ALFA.1,0000743532,34498
asofarma de méxico s.a de c.v,030584,fuzzy_extended,100.0,A S V INC,ASVI,0000926763,80798
"veracyte, inc",018947,fuzzy_extended,100.0,VERACYTE INC,VCYT,0001384101,14263
"aspartes pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"sorriso pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
aspen neuroscience,170920,fuzzy_extended,100.0,ASPEN GROUP INC,ASPU,0001487198,16856
astellas pharma international b.v,002582,fuzzy_extended,93.75,C V INTERNATIONAL CORP,CVIDQ,,20408
"advanced aesthetic technologies, inc",177895,fuzzy_extended,94.33962264150944,GT ADVANCED TECHNOLOGIES INC,GTATQ,0001394954,92758
verona pharma inc,284453,fuzzy_extended,100.0,VERONA PHARMA PLC,VRNA,0001657312,16684
"somnetics international, inc",006957,fuzzy_extended,92.5925925925926,MAGNETICS INTERNATIONAL INC,MAGN.1,0000061486,50973
verity pharmaceuticals inc,061401,fuzzy_extended,100.0,VERITY INC,VRTY.,0000949956,82535
taiwan resonant waves research corporation,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
tyligand pharmaceuticals (suzhou) limited,247881,fuzzy_extended,93.87755102040816,GW PHARMACEUTICALS LIMITED,GWPH,0001351288,13926
spherix incorporated,002237,fuzzy_extended,100.0,SPHERIX INC  -OLD,SPEX.2,0001584361,18148
aleris eye,013712,fuzzy_extended,100.0,ALERIS CORP,6685B,0001518587,75558
speech technology and applied research corp,010382,fuzzy_extended,100.0,TECHNOLOGY RESEARCH CORP,TRCI,0000741556,92399
spectrum ergonomics and occupational health services,009938,fuzzy_extended,100.0,SPECTRUM GROUP INC,BUG.,0000728299,68689
antia therapeutics ag,028209,fuzzy_extended,94.44444444444444,ANIKA THERAPEUTICS INC,ANIK,0000898437,79150
advanced protein technologies corporation,177895,fuzzy_extended,93.33333333333333,GT ADVANCED TECHNOLOGIES INC,GTATQ,0001394954,92758
ask rose,013281,fuzzy_extended,100.0,ROSE CORP,3TRSEF,0000351076,78404
advanced research network,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"venous health systems, inc",025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
advanced viral research corp,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
advanced technology & communications,001140,fuzzy_extended,100.0,ADVANCED COMMUNICATIONS INC,5022B,0000724899,10904
"asia stem cell regenerative pharmaceutical co., ltd",038722,fuzzy_extended,100.0,STEM INC,STEM,0001758766,19919
univax biologics inc,024904,fuzzy_extended,100.0,UNIVAX BIOLOGICS INC,UNVX,0000882254,77320
"ubix therapeutics, inc",036767,fuzzy_extended,93.02325581395348,NURIX THERAPEUTICS INC,NRIX,0001549595,19566
systemix,024385,fuzzy_extended,100.0,SYSTEMIX INC,STMX,0000876428,76782
systems medicine llc,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"university research co, llc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
aptevo research and development llc,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
ahava dead sea laboratories,032546,fuzzy_extended,100.0,SEA LIMITED,SE,0001703399,17023
"araim pharmaceuticals, inc",013283,fuzzy_extended,94.11764705882354,MARSAM PHARMACEUTICALS INC,MSAM,0000810590,11209
"aquora research & consulting, llc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"szabocsik and associates, inc",031807,fuzzy_extended,100.0,AG ASSOCIATES INC,AGAI,0000942124,81597
swami rama cancer hospital and research institute,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
svelte medical systems europe,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"arsanis, inc",032607,fuzzy_extended,100.0,ARSANIS INC,ASNS.1,,17105
synergy pharmaceuticals pte. ltd,175064,fuzzy_extended,100.0,SYNERGY PHARMACEUTICALS INC,SGYPQ,0001347613,13167
syneron candela,012390,fuzzy_extended,100.0,CANDELA CORP,CLZR,0000793279,10371
quotient diagnostics limited,020135,fuzzy_extended,100.0,QUOTIENT LTD,QTNTQ,0001596946,14666
synthemed,010256,fuzzy_extended,100.0,SYNTHEMED CORP,2974B,0000350489,74131
"appello pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"ajax therapeutics, inc",038857,fuzzy_extended,93.02325581395348,JANUX THERAPEUTICS INC,JANX,0001817713,21563
"unicycive therapeutics, inc",038867,fuzzy_extended,100.0,UNICYCIVE THERAPEUTICS INC,UNCY,0001766140,21780
"apros therapeutics, inc",187720,fuzzy_extended,95.45454545454545,ARGOS THERAPEUTICS INC,ARGSQ,0001105533,14447
unigene laboratories inc,013704,fuzzy_extended,100.0,UNIGENE LABORATORIES INC,UGNEQ,0000352747,11601
unilever seac,010846,fuzzy_extended,100.0,UNILEVER PLC,UL,0000217410,28302
"synthorx, inc, a sanofi company",034429,fuzzy_extended,100.0,SYNTHORX INC,THOR,0001609727,18321
unilever israel,010846,fuzzy_extended,100.0,UNILEVER PLC,UL,0000217410,28302
alavita pharmaceuticals inc,029251,fuzzy_extended,93.61702127659575,KALVISTA PHARMACEUTICALS,KALV,0001348911,15285
ark therapeutics ltd,022709,fuzzy_extended,94.11764705882354,SPARK THERAPEUTICS INC,ONCE,0001609351,15183
arlene fink associates,031807,fuzzy_extended,100.0,AG ASSOCIATES INC,AGAI,0000942124,81597
alan richardson,009124,fuzzy_extended,100.0,RICHARDSON CO,RCS.1,0000083786,46738
"ariston pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
arixa pharmaceuticals,030674,fuzzy_extended,95.23809523809524,ARIAD PHARMACEUTICALS INC,ARIA,0000884731,80918
"apexian pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
arrien pharmaceuticals,018749,fuzzy_extended,93.02325581395348,AERIE PHARMACEUTICALS INC,AERI,0001337553,14238
"albany molecular research, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
valhalla project niagara,028778,fuzzy_extended,100.0,NIAGARA CORP,NGCN,0000710976,82499
strata medical innovations,015852,fuzzy_extended,100.0,MEDICAL INNOVATIONS INC,MIXX.,0000835908,75785
"valent technologies, llc",126554,fuzzy_extended,92.3076923076923,AGILENT TECHNOLOGIES INC,A,0001090872,87432
stryker gi ltd,010115,fuzzy_extended,100.0,STRYKER CORP,SYK,0000310764,73139
aro biotherapeutics,001767,fuzzy_extended,100.0,ARO CORP,ARO.3,,27502
aromics therapeutics,175008,fuzzy_extended,92.3076923076923,AMICUS THERAPEUTICS INC,FOLD,0001178879,92040
aromtech ltd,029762,fuzzy_extended,93.33333333333333,AROTECH CORP,ARTX,0000916529,80237
stryker australia pty ltd,010115,fuzzy_extended,100.0,STRYKER CORP,SYK,0000310764,73139
"aetna, inc",001177,fuzzy_extended,100.0,AETNA INC,AET,0001122304,88845
archeon,001725,fuzzy_extended,92.3076923076923,ARCHON INC,AHON,0000007105,14841
"sutra medical, inc",022038,fuzzy_extended,92.3076923076923,SUPRA MEDICAL CORP,3SMDD,0000810822,77487
arcion therapeutics inc,041684,fuzzy_extended,93.61702127659575,ACRIVON THERAPEUTICS INC,ACRV,0001781174,23510
"surgical innovation associates, inc",031807,fuzzy_extended,100.0,AG ASSOCIATES INC,AGAI,0000942124,81597
urs e. nydegger,010813,fuzzy_extended,100.0,URS CORP,URS,0000102379,50278
surgalign spine technologies,138707,fuzzy_extended,100.0,SURGALIGN HOLDINGS INC,SRGAQ,0001760173,88564
apitope technology (bristol) ltd,002401,fuzzy_extended,100.0,BRISTOL CORP,BRSL,,19351
vm therapeutics llc,063996,fuzzy_extended,93.33333333333333,CV THERAPEUTICS INC,CVTX,0000921506,85668
"affyimmune therapeutics, inc",025077,fuzzy_extended,94.11764705882354,AIMMUNE THERAPEUTICS INC,AIMT,0001631650,15630
afon technology,061102,fuzzy_extended,92.85714285714286,ON TECHNOLOGY CORP,ONTC.,0000925288,82204
surface oncology,033274,fuzzy_extended,100.0,SURFACE ONCOLOGY INC,SURF,0001718108,17695
"taris biomedical, inc",037872,fuzzy_extended,93.75,TALIS BIOMEDICAL CORP,TLIS,0001584751,20633
team working life denmark,010353,fuzzy_extended,100.0,TEAM INC,TISI,0000318833,65752
"vitrac therapeutics, llc",023813,fuzzy_extended,92.3076923076923,VIRACTA THERAPEUTICS INC,VIRX,0001061027,90907
vitro biopharma inc,015178,fuzzy_extended,100.0,VITRO BIOPHARMA INC,VODG,0000793171,75676
"avon products, inc",001920,fuzzy_extended,100.0,AVON PRODUCTS,AVP,0000008868,40416
team foods colombia s.a,010353,fuzzy_extended,100.0,TEAM INC,TISI,0000318833,65752
aviragen therapeutics,210032,fuzzy_extended,100.0,AVIRAGEN THERAPEUTICS INC,AVIR.,,57913
aviron llc,063934,fuzzy_extended,100.0,AVIRON,AVIR.1,0000949173,84192
