lead_sponsor_name,orig_conm,drop_sic,n_trials
"Westlake Pharmaceuticals (Hangzhou) Co., Ltd.",WESTLAKE CORP,2860,4
"Biodesix, Inc.",BIODESIX INC,8071,4
BioNova Pharmaceuticals (Shanghai) LTD.,BIONOVA HOLDING CORP,0700,4
G & W Laboratories Inc.,W HOLDING CO INC,6022,4
Validus Pharmaceuticals,VALIDUS HOLDINGS LTD,6331,4
Beijing Union Pharmaceutical Factory Ltd,UNION CORP,7320,4
"ConBio, a Cynosure Company",CYNOSURE INC,3845,4
Aerogen Pharma Limited,AEROGEN INC,3841,4
Creative Medical Technology Holdings Inc,CREATIVE TECHNOLOGY LTD,3577,4
"Crown Laboratories, Inc.",CROWN LABORATORIES INC/DE,2090,4
GI View Ltd.,VIEW INC,3211,4
Danone Japan,DANONE SA,2000,4
Aradigm Corporation,ARADIGM CORP,3845,4
Envoy Medical Corporation,ENVOY MEDICAL INC,3842,4
Engelhard Arzneimittel GmbH & Co.KG,ENGELHARD CORP,2810,4
Turtle Shell Technologies Pvt. Ltd.,SHELL PLC,1311,4
Allurion Technologies,ALLURION TECHNOLOGIES INC,3841,4
Daxor Corporation,DAXOR CORP,3841,4
TearLab Corporation,TEARLAB CORP,3841,4
"Accelerate Diagnostics, Inc.",ACCELERATE DIAGNOSTICS INC,3826,4
American Gene Technologies International Inc.,AMERICAN INTERNATIONAL GROUP,6331,4
CV Technologies,CV HOLDINGS INC,6798,4
Blue Marble Rehab Inc,BLUE HOLDINGS INC,2300,4
Ability Pharmaceuticals SL,ABILITY INC,3669,4
Ceribell Inc.,CERIBELL INC,3845,4
Capstone Therapeutics,CAPSTONE THERAPEUTICS CORP,5030,4
"Treace Medical Concepts, Inc.",TREACE MEDIC CNCPTS INC,3841,4
Castle Biosciences Incorporated,CASTLE BIOSCIENCES INC,8071,4
Surgical Information Sciences Inc.,INFORMATION HOLDINGS INC,2731,4
Medtronic Heart Valves,MEDTRONIC PLC,3845,3
Nuo Therapeutics,NUO THERAPEUTICS INC,3841,3
Sinclair Pharmaceuticals Limited,SINCLAIR INC,4833,3
"Nutrisystem, Inc.",NUTRISYSTEM INC,5961,3
CytoSorbents Europe GmbH,CYTOSORBENTS CORP,3841,3
"Sequel Pharmaceuticals, Inc",SEQUEL CORP,3842,3
"Kips Bay Medical, Inc.",KIPS BAY MEDICAL INC,3841,3
Olympus Corporation,OLYMPUS CAPITAL CORP,4841,3
Medical Research Laboratories International,RESEARCH MEDICAL INC,3841,3
Sunrise,SUNRISE MEDICAL INC,3842,3
Sensus Healthcare,SENSUS HEALTHCARE INC,3841,3
"Sera Prognostics, Inc.",SERA PROGNOSTICS INC,8071,3
Danone Specialized Nutrition Indonesia,DANONE SA,2000,3
Datascope Corp.,DATASCOPE CORP,3845,3
DePuy Mitek,DEPUY INC,3842,3
"DePuy Synthes Products, Inc.",DEPUY INC,3842,3
"Amplitude Vascular Systems, Inc.",AMPLITUDE INC,7372,3
BrightView LLC,BRIGHTVIEW HOLDINGS,0700,3
Ion Beam Applications,BEAM INC,2080,3
Atlas Biomed,ATLAS CORP,4412,3
LifeTime Pharmaceuticals,LIFETIME CORP,8082,3
Medtronic Diabetes R&D Denmark,MEDTRONIC PLC,3845,3
"Nexgen Dermatologics, Inc.",NEXGEN INC,3674,3
"Chengdu Baiyu Pharmaceutical Co., Ltd.",BAIYU HOLDINGS INC,5050,3
"Nanogen, Inc.",NANOGEN INC,3826,3
Shulov Innovate for Science Ltd. 2012,INNOVATE CORP,3440,3
"Bird Rock Bio, Inc.",BIRD CORP,5030,3
Movano Health,MOVANO INC,7374,3
"Navigator Medicines, Inc.",NAVIGATOR HOLDINGS LTD,4412,3
"Valeritas, Inc.",VALERITAS HOLDINGS INC,3841,3
Care Team Solutions,TEAM INC,7600,3
"Cardiogenesis Corporation, a wholly-owned subsidiary of CryoLife, Inc.",CARDIOGENESIS CORP,3842,3
"Behavior Therapy Associates, LLP",AG ASSOCIATES INC,3559,3
"Nova Eye, Inc.",NOVA LTD,3827,3
EVE Medical Systems Ltd.,PLC SYSTEMS INC,3845,3
Noah Labs,NOAH HOLDINGS LIMITED,6282,3
Luminex Molecular Diagnostics,LUMINEX CORP,3841,3
"Cardinal Health 414, LLC",CARDINAL HEALTH INC,5122,3
Lument AB,LUMENT FINANCE TRUST INC,6798,3
Conavi,CONAVI MEDICAL CORP,3845,3
"Lucid, Inc.",LUCID GROUP INC,3711,3
Longevity Inc.,LONGEVITY HEALTH HLDINGS INC,2840,3
Northstar Neuroscience,NORTHSTAR NEUROSCIENCE INC,3845,3
"Ningbo Newbay Technology Development Co., Ltd",TECHNOLOGY DEVELOPMENT CORP,3825,3
"CW Optics, Inc.",QC OPTICS INC,3550,3
Polaris Health Directions,POLARIS INC,3790,3
Pinnacle Biologics Inc.,PINNACLE HOLDINGS INC,6798,3
InVivo Therapeutics,INVIVO THERAPEUTICS HLDGS CO,3841,3
"Alio, Inc.",ALIO GOLD INC,1040,3
Hansen Medical,HANSEN MEDICAL INC,3842,3
"Perfect Lens, LLC",PERFECT CORP,7372,3
Aethlon Medical Inc.,AETHLON MEDICAL INC,3841,3
"Professional Disposables International, Inc.",PROFESSIONAL HOLDING CORP,6021,3
Stryker Endoscopy,STRYKER CORP,3841,3
GCP-Service International West GmbH,WEST CORP,7389,3
Ra Medical Systems,PLC SYSTEMS INC,3845,3
"Sonendo, Inc.",SONENDO INC,3843,3
Stryker Biotech,STRYKER CORP,3841,3
Foundation Medicine,FOUNDATION MEDICINE INC,8071,3
Hologic Deutschland GmbH,HOLOGIC INC,3844,3
"Advanced Brain Monitoring, Inc.",ADVANCED MONITORING SYS INC,1389,3
